"SITE_ID", "GROUP_ID", "VARIABLE_GROUP", "SPP_COMMENT", "SPP_U", "SPP_UNIT", "SPP_APPROACH", "SPP_DATE", "SPP_U_PERC", "SPP_U_PERC_SPATIAL_REP_NUMBER", "SPP_U_PERC_SPATIAL_VARIABILITY", "SPP_DATE_UNC", 
"CA-Ca1", "26329", "GRP_SPP_U", "Understory species were sparse. Others include Berbis nervosa Pursh., Achlys triphylla (Smith) DC. As well as various ferns and mosses (Morgenstern et al., 2004)", "CHANA2 (NRCS plant code)", "Unknown", , , , , , , 
"CA-Ca2", "26972", "GRP_SPP_U", "understory species were dense and included BENE2 and GATR3", "CHANA2 (NRCS plant code)", "Unknown", "observation field visit 269/2003", "2004", "100", , , , 
"CA-Ca3", "26862", "GRP_SPP_U", "understory species were dense and included PTAQ and POMU; Humphreys etal., 2006;", "POMU (NRCS plant code)", "Unknown", , , "20", , , , 
"CA-Ca3", "28290", "GRP_SPP_U", "understory species were dense and included PTAQ and POMU; Humphreys etal., 2006;", "CHANA2 (NRCS plant code)", "Unknown", , , "40", , , , 
"CA-Ca3", "28529", "GRP_SPP_U", "understory species were dense and included PTAQ and POMU; Humphreys etal., 2006;", "PTAQ (NRCS plant code)", "Unknown", , , "20", , , , 
"CA-Gro", "25228", "GRP_SPP_U", "Data from McCaughey et al (2006, Agricultural and Forest Meteorology 140, 79-96)", "SPHAG2 (NRCS plant code)", "Unknown", , "2003", , , , , 
"CA-Gro", "25863", "GRP_SPP_U", "Data from McCaughey et al (2006, Agricultural and Forest Meteorology 140, 79-96)", "HYLOC2 (NRCS plant code)", "Unknown", , "2003", , , , , 
"CA-Let", "26582", "GRP_SPP_U", "Flanagan et al. (2002, Global Change Biology 8, 599-615)", "VIAMO (NRCS plant code)", "Unknown", , , , , , , 
"CA-Man", "26250", "GRP_SPP_U", "Gower et al. (1997, J Geophy Res 102, 29029-29041)", "PLEUR10 (NRCS plant code)", "Unknown", , "1994", , , , , 
"CA-Man", "26380", "GRP_SPP_U", "Gower et al. (1997, J Geophy Res 102, 29029-29041)", "HYLOC2 (NRCS plant code)", "Unknown", , "1994", , , , , 
