"SITE_ID", "GROUP_ID", "VARIABLE_GROUP", "AG_BIOMASS_TREE", "AG_BIOMASS_TREE_ORGAN", "AG_BIOMASS_TREE_PHEN", "AG_BIOMASS_TREE_UNIT", "AG_BIOMASS_DATE", "AG_BIOMASS_COMMENT", "AG_BIOMASS_APPROACH", "AG_BIOMASS_TREE_SPATIAL_VARIABILITY", "AG_BIOMASS_TREE_SPATIAL_REP_NUMBER", "AG_BIOMASS_DATE_UNC", 
"CA-Ca1", "25692", "GRP_AG_BIOMASS_TREE", "13776", "Total", "Mixed/unknown", "gC m-2", "20021108", "269-312/2002; C content assumed 50% for all veg except Douglas-fir, 50.5%", , , , , 
"CA-Ca1", "25820", "GRP_AG_BIOMASS_TREE", "12538", "Wood", "Mixed/unknown", "gC m-2", "20021108", "269-312/2002; C content assumed 50% for all veg except Douglas-fir, 50.5%", , , , , 
"CA-Ca1", "26201", "GRP_AG_BIOMASS_TREE", "1238", "Foliage", "Mixed/unknown", "gC m-2", "20021108", "269-312/2002; C content assumed 50% for all veg except Douglas-fir, 50.5%", , , , , 
"CA-Ca2", "26694", "GRP_AG_BIOMASS_TREE", "27", "Wood", "Mixed/unknown", "gC m-2", "20021106", "265-310/2002; C content assumed 50% for all veg except Douglas-fir, 50.5%", "average of  6 400 m plot estimates, using PLOTBIO_FOLIAGE_LIVE column in BC-DF49,HDF00,HDF88,HDF90_FC-GP_LTP_HEADER_2002.csv plus BC-DF49,HDF00,HDF88,HDF90_FC-GP_STP_HEADER_2002.csv. From Eco&SiteCharacteristicsDF1988Groundplot_2002 on CCP DIS", , , , 
"CA-Ca2", "26695", "GRP_AG_BIOMASS_TREE", "30", "Total", "Mixed/unknown", "gC m-2", "20021106", "265-310/2002; C content assumed 50% for all veg except Douglas-fir, 50.5%", "average of  6 400 m plot estimates, using PLOTBIO_FOLIAGE_LIVE column in BC-DF49,HDF00,HDF88,HDF90_FC-GP_LTP_HEADER_2002.csv plus BC-DF49,HDF00,HDF88,HDF90_FC-GP_STP_HEADER_2002.csv. From Eco&SiteCharacteristicsDF1988Groundplot_2002 on CCP DIS", , , , 
"CA-Ca2", "28260", "GRP_AG_BIOMASS_TREE", "3", "Foliage", "Mixed/unknown", "gC m-2", "20021106", "265-310/2002; C content assumed 50% for all veg except Douglas-fir, 50.5%", "average of  6 400 m plot estimates, using PLOTBIO_FOLIAGE_LIVE column in BC-DF49,HDF00,HDF88,HDF90_FC-GP_LTP_HEADER_2002.csv plus BC-DF49,HDF00,HDF88,HDF90_FC-GP_STP_HEADER_2002.csv. From Eco&SiteCharacteristicsDF1988Groundplot_2002 on CCP DIS", , , , 
"CA-Ca3", "27544", "GRP_AG_BIOMASS_TREE", "220", "Foliage", "Mixed/unknown", "gC m-2", "20021105", "C content assumed 50% for all veg except Douglas-fir, 50.5%", "average of  6 400 m plot estimates, using PLOTBIO_FOLIAGE_LIVE column in BC-DF49,HDF00,HDF88,HDF90_FC-GP_LTP_HEADER_2002.csv plus BC-DF49,HDF00,HDF88,HDF90_FC-GP_STP_HEADER_2002.csv. From Eco&SiteCharacteristicsDF1988Groundplot_2002 on CCP DIS", , , , 
"CA-Ca3", "28990", "GRP_AG_BIOMASS_TREE", "610", "Wood", "Mixed/unknown", "gC m-2", "20021105", "C content assumed 50% for all veg except Douglas-fir, 50.5%", "average of  6 400 m plot estimates, using PLOTBIO_FOLIAGE_LIVE column in BC-DF49,HDF00,HDF88,HDF90_FC-GP_LTP_HEADER_2002.csv plus BC-DF49,HDF00,HDF88,HDF90_FC-GP_STP_HEADER_2002.csv. From Eco&SiteCharacteristicsDF1988Groundplot_2002 on CCP DIS", , , , 
"CA-Ca3", "29456", "GRP_AG_BIOMASS_TREE", "830", "Total", "Mixed/unknown", "gC m-2", "20021105", "C content assumed 50% for all veg except Douglas-fir, 50.5%", "average of  6 400 m plot estimates, using PLOTBIO_FOLIAGE_LIVE column in BC-DF49,HDF00,HDF88,HDF90_FC-GP_LTP_HEADER_2002.csv plus BC-DF49,HDF00,HDF88,HDF90_FC-GP_STP_HEADER_2002.csv. From Eco&SiteCharacteristicsDF1988Groundplot_2002 on CCP DIS", , , , 
"CA-Gro", "25865", "GRP_AG_BIOMASS_TREE", "6296", "Wood", "Mixed/unknown", "gC m-2", "20020811", "tree biomass was measured on 29 plots with a radius of 11.28m. Assumed that C account for 50% of biomass", , , , , 
"CA-Gro", "26252", "GRP_AG_BIOMASS_TREE", "393", "Foliage", "Mixed/unknown", "gC m-2", "20020811", "tree biomass was measured on 29 plots with a radius of 11.28m. Assumed that C account for 50% of biomass", , , , , 
"CA-Gro", "26253", "GRP_AG_BIOMASS_TREE", "6661", "Total", "Mixed/unknown", "gC m-2", "20020811", "tree biomass was measured on 29 plots with a radius of 11.28m. Assumed that C account for 50% of biomass", , , , , 
"CA-Man", "25752", "GRP_AG_BIOMASS_TREE", "5624", "Total", "Mixed/unknown", "gC m-2", "1994", "data from Gower et al. (1997, J Geophy Res 102, 29029-29041)", , , , , 
"CA-Man", "25860", "GRP_AG_BIOMASS_TREE", "5228", "Wood", "Mixed/unknown", "gC m-2", "1994", "data from Gower et al. (1997, J Geophy Res 102, 29029-29041)", , , , , 
"CA-Man", "26381", "GRP_AG_BIOMASS_TREE", "396", "Foliage", "Mixed/unknown", "gC m-2", "1994", "data from Gower et al. (1997, J Geophy Res 102, 29029-29041)", , , , , 
"CA-Oas", "27105", "GRP_AG_BIOMASS_TREE", "140", "Foliage", "Mixed/unknown", "gC m-2", "2004", "Data from Alison Deanne Theede (2007)", , "17", , , 
"CA-Oas", "27409", "GRP_AG_BIOMASS_TREE", "7540", "Wood", "Mixed/unknown", "gC m-2", "1994", "Data from Alison Deanne Theede (2007)", , "18", , , 
"CA-Oas", "28018", "GRP_AG_BIOMASS_TREE", "7550", "Total", "Mixed/unknown", "gC m-2", "2004", "Data from Alison Deanne Theede (2007)", , "17", , , 
"CA-Oas", "28635", "GRP_AG_BIOMASS_TREE", "7700", "Total", "Mixed/unknown", "gC m-2", "1994", "Data from Alison Deanne Theede (2007)", , "18", , , 
"CA-Oas", "29236", "GRP_AG_BIOMASS_TREE", "7410", "Wood", "Mixed/unknown", "gC m-2", "2004", "Data from Alison Deanne Theede (2007)", , "16", , , 
"CA-Oas", "29348", "GRP_AG_BIOMASS_TREE", "160", "Foliage", "Mixed/unknown", "gC m-2", "1994", "Data from Alison Deanne Theede (2007)", , "22", , , 
"CA-Obs", "26213", "GRP_AG_BIOMASS_TREE", "4308", "Wood", "Mixed/unknown", "gC m-2", "1993", "Gower et al. (1997, J Geophy Res, 29029-29041)", , , , , 
"CA-Obs", "26594", "GRP_AG_BIOMASS_TREE", "505", "Foliage", "Mixed/unknown", "gC m-2", "1993", "Gower et al. (1997, J Geophy Res, 29029-29041)", , , , , 
"CA-Obs", "26595", "GRP_AG_BIOMASS_TREE", "4813", "Total", "Mixed/unknown", "gC m-2", "1993", "Gower et al. (1997, J Geophy Res, 29029-29041)", , , , , 
"CA-Ojp", "27120", "GRP_AG_BIOMASS_TREE", "3070", "Total", "Mixed/unknown", "gC m-2", "1994", "Data from Alison Deanne Theede (2007)", , "660", , , 
"CA-Ojp", "27760", "GRP_AG_BIOMASS_TREE", "180", "Foliage", "Mixed/unknown", "gC m-2", "1994", "Data from Alison Deanne Theede (2007)", , "30", , , 
"CA-Ojp", "28033", "GRP_AG_BIOMASS_TREE", "3430", "Wood", "Mixed/unknown", "gC m-2", "2004", "Data from Alison Deanne Theede (2007)", , "690", , , 
"CA-Ojp", "28712", "GRP_AG_BIOMASS_TREE", "200", "Foliage", "Mixed/unknown", "gC m-2", "2004", "Data from Alison Deanne Theede (2007)", , "30", , , 
"CA-Ojp", "29245", "GRP_AG_BIOMASS_TREE", "2890", "Wood", "Mixed/unknown", "gC m-2", "1994", "Data from Alison Deanne Theede (2007)", , "650", , , 
"CA-Ojp", "29571", "GRP_AG_BIOMASS_TREE", "3640", "Total", "Mixed/unknown", "gC m-2", "2004", "Data from Alison Deanne Theede (2007)", , "730", , , 
"CA-Qfo", "26656", "GRP_AG_BIOMASS_TREE", "4500", "Total", "Mixed/unknown", "gC m-2", , "data from Bergeron et al. (2007, Global Change Biology 13, 89-107)", , , , , 
"CA-SJ1", "26990", "GRP_AG_BIOMASS_TREE", "55", "Foliage", "Mixed/unknown", "gC m-2", "2002", "measured followed Fluxnet-Canada protocol. Assumed that C account for 50% of biomass", , , , , 
"CA-SJ1", "28270", "GRP_AG_BIOMASS_TREE", "158.9", "Total", "Mixed/unknown", "gC m-2", "2002", "measured followed Fluxnet-Canada protocol. Assumed that C account for 50% of biomass", , , , , 
"CA-SJ1", "29462", "GRP_AG_BIOMASS_TREE", "103.8", "Wood", "Mixed/unknown", "gC m-2", "2002", "measured followed Fluxnet-Canada protocol. Assumed that C account for 50% of biomass", , , , , 
"CA-SJ2", "28997", "GRP_AG_BIOMASS_TREE", "0", "Total", "Mixed/unknown", "gC m-2", "2002", "measured followed Fluxnet-Canada protocol", , , , , 
"CA-SJ3", "27553", "GRP_AG_BIOMASS_TREE", "206", "Foliage", "Mixed/unknown", "gC m-2", "2002", "measured followed Fluxnet-Canada protocol. Assumed that C account for 50% of biomass", , , , , 
"CA-SJ3", "28274", "GRP_AG_BIOMASS_TREE", "1874", "Wood", "Mixed/unknown", "gC m-2", "2002", "measured followed Fluxnet-Canada protocol. Assumed that C account for 50% of biomass", , , , , 
"CA-SJ3", "29110", "GRP_AG_BIOMASS_TREE", "2080", "Total", "Mixed/unknown", "gC m-2", "2002", "measured followed Fluxnet-Canada protocol. Assumed that C account for 50% of biomass", , , , , 
"CA-TP1", "26712", "GRP_AG_BIOMASS_TREE", "483.849835247765", "Total", "Mixed/unknown", "gC m-2", "20071016", , "destructive tree sampling, upscaled to stand level using 1) site specific allometric equation [aboveground live biomass=0.021*(Diameter at base)^2.73]  and 2) stem density (1683 stems ha-1) from inventory data", , , , 
"CA-TP1", "26848", "GRP_AG_BIOMASS_TREE", "222.212702795202", "Foliage", "Mixed/unknown", "gC m-2", "20071016", , "destructive tree sampling, upscaled to stand level using 1) site specific allometric equation [foliage biomass=0.011*(Diameter at base)^2.67]  and 2) stem density (1683 stems ha-1) from inventory data", , , , 
"CA-TP1", "26997", "GRP_AG_BIOMASS_TREE", "137.115397943449", "Total", "Mixed/unknown", "gC m-2", "20050928", , "destructive tree sampling, upscaled to stand level using 1) site specific allometric equation [aboveground live biomass=0.021*(Diameter at base)^2.73]  and 2) stem density (1683 stems ha-1) from inventory data", , , , 
"CA-TP1", "27285", "GRP_AG_BIOMASS_TREE", "13.2052815210096", "Wood", "Mixed/unknown", "gC m-2", "20041001", , "destructive tree sampling, upscaled to stand level using 1) site specific allometric equation [stem biomass=0.006*(Diameter at base)^2.813]  [branch biomass=0.004*(Diameter at base)^2.76] and 2) stem density (1683 stems ha-1) from inventory data", , , , 
"CA-TP1", "27558", "GRP_AG_BIOMASS_TREE", "72.5165120038327", "Wood", "Mixed/unknown", "gC m-2", "20050928", , "destructive tree sampling, upscaled to stand level using 1) site specific allometric equation [stem biomass=0.006*(Diameter at base)^2.813]  [branch biomass=0.004*(Diameter at base)^2.76] and 2) stem density (1683 stems ha-1) from inventory data", , , , 
