"SITE_ID", "GROUP_ID", "VARIABLE_GROUP", "AG_LIT_PROD_TOT", "AG_LIT_PROD_UNIT", "AG_LIT_PROD_DATE_START", "AG_LIT_PROD_COMMENT", "AG_LIT_PROD_TOT_SPATIAL_VARIABILITY", "AG_LIT_PROD_TOT_SPATIAL_REP_NUMBER", "AG_LIT_PROD_APPROACH", "AG_LIT_PROD_DATE_END", "AG_LIT_PROD_DATE_UNC", 
"US-Ha1", "17328", "GRP_AG_LIT_PROD", "147", "gC m-2", "20030416", "all spp leaf litter (leaf by spp and non leaf also available)", "31", "34", "litter baskets", "20040624", , 
"US-Ha1", "17331", "GRP_AG_LIT_PROD", "142", "gC m-2", "20040624", "all spp leaf litter (non leaf also available)", "25", "34", "litter baskets", "20050603", , 
"US-Ha1", "17335", "GRP_AG_LIT_PROD", "160", "gC m-2", "20050603", "all spp leaf litter (non leaf also available)", "27", "34", "litter baskets", "20060425", , 
"US-Ha1", "17338", "GRP_AG_LIT_PROD", "159", "gC m-2", "20060425", "all spp leaf litter (leaf by spp and non leaf also available)", "29", "34", "litter baskets", "20070420", , 
"US-Ha1", "17342", "GRP_AG_LIT_PROD", "172", "gC m-2", "20070420", "all spp leaf litter (leaf by spp and non leaf also available)", "27", "34", "litter baskets", "20080429", , 
"US-Ha1", "17345", "GRP_AG_LIT_PROD", "162", "gC m-2", "20080429", "all spp leaf litter (leaf by spp and non leaf also available)", "45", "34", "litter baskets", "20090511", , 
"US-Ha1", "17348", "GRP_AG_LIT_PROD", "146", "gC m-2", "20090511", "all spp leaf litter (leaf by spp and non leaf also available)", "29", "34", "litter baskets", "20100503", , 
"US-Ha1", "17351", "GRP_AG_LIT_PROD", "156", "gC m-2", "20100503", "all spp leaf litter (leaf by spp and non leaf also available)", "27", "34", "litter baskets", "20110526", , 
"US-Ho1", "23700", "GRP_AG_LIT_PROD", "150", "gC m-2", "2008", , , , , , , 
"US-Ho2", "23701", "GRP_AG_LIT_PROD", "150", "gC m-2", , "same as Main (US-Ho1)", , , , , , 
"US-Los", "28194", "GRP_AG_LIT_PROD", "19.6", "gC m-2", , "Peter Weishampel", , , , , , 
"US-Me2", "19590", "GRP_AG_LIT_PROD", "113.81026786", "gC m-2", "2005", , , , , "2005", , 
"US-Me2", "19593", "GRP_AG_LIT_PROD", "101.19951923", "gC m-2", "2006", , , , , "2006", , 
"US-Me2", "19596", "GRP_AG_LIT_PROD", "102.03846154", "gC m-2", "2007", , , , , "2007", , 
"US-Me2", "19599", "GRP_AG_LIT_PROD", "73.185096154", "gC m-2", "2008", , , , , "2008", , 
"US-Me2", "19605", "GRP_AG_LIT_PROD", "105.09765625", "gC m-2", "2010", , "8.83", , , "2010", , 
"US-Me2", "19631", "GRP_AG_LIT_PROD", "66.80078125", "gC m-2", "2011", , "18.6", , , "2011", , 
"US-Me2", "19654", "GRP_AG_LIT_PROD", "60.292410714", "gC m-2", "2002", , , , , "2002", , 
"US-Me2", "19664", "GRP_AG_LIT_PROD", "135.69196429", "gC m-2", "2003", , , , , "2003", , 
"US-Me2", "19667", "GRP_AG_LIT_PROD", "85.045673077", "gC m-2", "2004", , , , , "2004", , 
"US-Me2", "22099", "GRP_AG_LIT_PROD", "103.7", "gC m-2", "20031023", , "58", , , "20041021", , 
"US-Me2", "22100", "GRP_AG_LIT_PROD", "125.8", "gC m-2", "20041021", , "74.2", , , "20051025", , 
"US-Me2", "22101", "GRP_AG_LIT_PROD", "102.4", "gC m-2", "20051025", , "45.2", , , "20061116", , 
"US-Me2", "22102", "GRP_AG_LIT_PROD", "108.3", "gC m-2", "20061116", "uncertain end date: April 2008", "58.9", , , "20080401", "30", 
"US-Me2", "22103", "GRP_AG_LIT_PROD", "78.8", "gC m-2", "20080401", , "43.4", , , "20081201", "30", 
"US-Me2", "22104", "GRP_AG_LIT_PROD", "77", "gC m-2", "2009", , , , , "2009", , 
"US-Me2", "22105", "GRP_AG_LIT_PROD", "66.8", "gC m-2", "20110614", , "27.6", , , "20111215", , 
"US-Me2", "22106", "GRP_AG_LIT_PROD", "93.3", "gC m-2", "20111215", , "51.9", , , "20130510", , 
"US-Me2", "22107", "GRP_AG_LIT_PROD", "13.6", "gC m-2", "20130510", , "5.4", , , "20130912", , 
"US-Me2", "22108", "GRP_AG_LIT_PROD", "62.2", "gC m-2", "20130912", , "27.1", , , "20131009", , 
"US-Me2", "22109", "GRP_AG_LIT_PROD", "187.7", "gC m-2", "20131009", , "70.83", , , "20141016", , 
"US-Me3", "24054", "GRP_AG_LIT_PROD", "16.5", "gC m-2", , , , , , , , 
"US-Me4", "24956", "GRP_AG_LIT_PROD", "94", "gC m-2", , , , , , , , 
"US-Me4", "24959", "GRP_AG_LIT_PROD", "71", "gC m-2", , , , , , , , 
"US-Me5", "24571", "GRP_AG_LIT_PROD", "51", "gC m-2", , , , , , , , 
"US-Me6", "19671", "GRP_AG_LIT_PROD", "8.09", "gC m-2", "19600401", "unknown start date", "6.64", , , "20110428", , 
"US-Me6", "19674", "GRP_AG_LIT_PROD", "7.64063", "gC m-2", "20110428", , "1.3845", , , "20120319", , 
"US-Me6", "19676", "GRP_AG_LIT_PROD", "9.3159722222", "gC m-2", "20120319", , "6.6288764537", , , "20130509", , 
"US-Me6", "19678", "GRP_AG_LIT_PROD", "3.3826953125", "gC m-2", "20130509", , "4.5839236161", , , "20130913", , 
"US-Me6", "19680", "GRP_AG_LIT_PROD", "4.2144097222", "gC m-2", "20130913", , "3.6987637703", , , "20131009", , 
"US-Me6", "22136", "GRP_AG_LIT_PROD", "8.09", "gC m-2", "20101001", "start date is October 2010: no specific day", "6.64", , , "20110428", , 
"US-Me6", "22137", "GRP_AG_LIT_PROD", "16.17", "gC m-2", "20131009", , "7.01", , , "20140911", , 
"US-Me6", "22138", "GRP_AG_LIT_PROD", "11.03", "gC m-2", "20140911", , "9.28", , , "20141016", , 
"US-MOz", "24598", "GRP_AG_LIT_PROD", "539.11", "gC m-2", "2007", , , , , , , 
"US-MOz", "24859", "GRP_AG_LIT_PROD", "640.31", "gC m-2", "2007", , , , , , , 
"US-MOz", "24982", "GRP_AG_LIT_PROD", "463.95", "gC m-2", "2007", , , , , , , 
"US-NR1", "23702", "GRP_AG_LIT_PROD", "215.8", "gC m-2", "2008", "summer 2006; Ten plots, 4 litter bins/plot. Tree litter was collected in the bins year-round then harvested after spring snow melt and brought to the lab to be dried and weighed. Help for this section was provided by Maggie Prater (maggie.prater@colorado.edu).", , , , , , 
"US-PFa", "27575", "GRP_AG_LIT_PROD", "100.7", "gC m-2", "2000", "annual average leaf litterfall 1998-2000= 100.7  (P. Bolstad) taken at Willow Creek", , , , , , 
"US-PFa", "29028", "GRP_AG_LIT_PROD", "100.7", "gC m-2", "1999", "annual average leaf litterfall 1998-2000= 100.7  (P. Bolstad) taken at Willow Creek", , , , , , 
"US-PFa", "29489", "GRP_AG_LIT_PROD", "100.7", "gC m-2", "1998", "annual average leaf litterfall 1998-2000= 100.7  (P. Bolstad) taken at Willow Creek", , , , , , 
"US-Slt", "28768", "GRP_AG_LIT_PROD", "182.8", "gC m-2", "2006", "140.4 +- 12.3 Foliar; 29.7 +- 20.3 Wood", "28.7", , , , , 
"US-Slt", "29301", "GRP_AG_LIT_PROD", "207.2", "gC m-2", "2005", "159.4 +- 17.8 Foliar; 40.3 +- 44.4 Wood", "49.2", , , , , 
"US-Slt", "29612", "GRP_AG_LIT_PROD", "240.4", "gC m-2", "2004", "158.8 +- 26.1 Foliar; 68.4 +- 135.9 Wood", "123.5", , , , , 
"US-SP1", "29173", "GRP_AG_LIT_PROD", "124.2", "gC m-2", , , , , , , , 
"US-SP2", "26913", "GRP_AG_LIT_PROD", "182.3", "gC m-2", "2006", "Value measured in 2006", , , , , , 
"US-SP3", "26915", "GRP_AG_LIT_PROD", "204.12", "gC m-2", "2006", "Value measured in 2006", , , , , , 
"US-Ton", "24599", "GRP_AG_LIT_PROD", "650", "gC m-2", "2007", , , , , , , 
"US-UMB", "18393", "GRP_AG_LIT_PROD", "146.5", "gC m-2", "19971101", "Litter includes all litter from 1 m above forest floor to the top of the canopy.  Litter does not include herbaceous layer below 1 m.", "37.4", "61", "Litter collected from litter traps of .179 m^2 in area.  One trap in each of 60 - 0.08 ha plots and 20 traps in a 1.13 ha plot with flux tower at plot center.  Litter includes foliage, seeds, flowers, fine woody debris.", "19981101", "30", 
"US-UMB", "18404", "GRP_AG_LIT_PROD", "194", "gC m-2", "19981101", "Litter includes all litter from 1 m above forest floor to the top of the canopy.  Litter does not include herbaceous layer below 1 m.", "172.7", "61", "Litter collected from litter traps of .179 m^2 in area.  One trap in each of 60 - 0.08 ha plots and 20 traps in a 1.13 ha plot with flux tower at plot center.  Litter includes foliage, seeds, flowers, fine woody debris.", "19991101", "30", 
"US-UMB", "18415", "GRP_AG_LIT_PROD", "186.4", "gC m-2", "19991101", "Litter includes all litter from 1 m above forest floor to the top of the canopy.  Litter does not include herbaceous layer below 1 m.", "42.8", "61", "Litter collected from litter traps of .179 m^2 in area.  One trap in each of 59 - 0.08 ha plots and 20 traps in a 1.13 ha plot with flux tower at plot center.  Litter includes foliage, seeds, flowers, fine woody debris.", "20001101", "30", 
"US-UMB", "18425", "GRP_AG_LIT_PROD", "135.8", "gC m-2", "20001101", "Litter includes all litter from 1 m above forest floor to the top of the canopy.  Litter does not include herbaceous layer below 1 m.", "36.1", "61", "Litter collected from litter traps of .179 m^2 in area.  One trap in each of 60 - 0.08 ha plots and 20 traps in a 1.13 ha plot with flux tower at plot center.  Litter includes foliage, seeds, flowers, fine woody debris.", "20011101", "30", 
"US-UMB", "18435", "GRP_AG_LIT_PROD", "156.1", "gC m-2", "20011101", "Litter includes all litter from 1 m above forest floor to the top of the canopy.  Litter does not include herbaceous layer below 1 m.", "37.1", "31", "Litter collected from litter traps of .264 m^2 in area.  One trap in each of 30 - 0.08 ha plots and 20 traps in a 1.13 ha plot with flux tower a plot center.  Litter includes foliage, seeds, flowers, fine woody debris.", "20021101", "30", 
"US-UMB", "18437", "GRP_AG_LIT_PROD", "183.7", "gC m-2", "20041101", "Litter includes all litter from 1 m above forest floor to the top of the canopy.  Litter does not include herbaceous layer below 1 m.", "76.6", "51", "Litter collected from litter traps of .264 m^2 in area.  One trap in each of 50 - 0.08 ha plots and 20 traps in a 1.13 ha plot with flux tower at plot center.  Litter includes foliage, seeds, flowers, fine woody debris.  Major red oak mast year.", "20051101", "30", 
"US-UMB", "18446", "GRP_AG_LIT_PROD", "149.9", "gC m-2", "20051101", "Litter includes all litter from 1 m above forest floor to the top of the canopy.  Litter does not include herbaceous layer below 1 m.", "41", "50", "Litter collected from litter traps of .264 m^2 in area.  One trap in each of 49 - 0.08 ha plots and 20 traps in a 1.13 ha plot with flux tower at plot center.  Litter includes foliage, seeds, flowers, fine woody debris.", "20061101", "30", 
"US-UMB", "18454", "GRP_AG_LIT_PROD", "138.7", "gC m-2", "20061101", "Litter includes all litter from 1 m above forest floor to the top of the canopy.  Litter does not include herbaceous layer below 1 m.", "33", "50", "Litter collected from litter traps of .264 m^2 in area.  One trap in each of 49 - 0.08 ha plots and 20 traps in a 1.13 ha plot with flux tower at plot center.  Litter includes foliage, seeds, flowers, fine woody debris.", "20071101", "30", 
"US-UMB", "18464", "GRP_AG_LIT_PROD", "140.9", "gC m-2", "20101101", "Litter includes all litter from 1 m above forest floor to the top of the canopy.  Litter does not include herbaceous layer below 1 m.", "36.7", "16", "Litter collected from litter traps of .264 m^2 in area.  Three traps in each of 15 - 0.08 ha plots and 20 traps in a 1.13 ha plot with flux tower at plot center.  Litter includes foliage, seeds, flowers, fine woody debris.", "20111101", "30", 
"US-UMB", "18471", "GRP_AG_LIT_PROD", "144", "gC m-2", "20111101", "Litter includes all litter from 1 m above forest floor to the top of the canopy.  Litter does not include herbaceous layer below 1 m.", "32", "16", "Litter collected from litter traps of .264 m^2 in area.  Three traps in each of 15 - 0.08 ha plots and 20 traps in a 1.13 ha plot with flux tower at plot center.  Litter includes foliage, seeds, flowers, fine woody debris.", "20121101", "30", 
"US-UMB", "18478", "GRP_AG_LIT_PROD", "162.2", "gC m-2", "20121101", "Litter includes all litter from 1 m above forest floor to the top of the canopy.  Litter does not include herbaceous layer below 1 m.", "60.3", "16", "Litter collected from litter traps of .264 m^2 in area.  Three traps in each of 15 - 0.08 ha plots and 20 traps in a 1.13 ha plot with flux tower at plot center.  Litter includes foliage, seeds, flowers, fine woody debris.", "20131101", "30", 
"US-UMB", "18516", "GRP_AG_LIT_PROD", "149.7", "gC m-2", "20021101", "Litter includes all litter from 1 m above forest floor to the top of the canopy.  Litter does not include herbaceous layer below 1 m.", "31.6", "31", "Litter collected from litter traps of .264 m^2 in area.  One trap in each of 30 - 0.08 ha plots and 20 traps in a 1.13 ha plot with flux tower at plot center.  Litter includes foliage, seeds, flowers, fine woody debris.", "20031101", "30", 
"US-UMB", "18524", "GRP_AG_LIT_PROD", "128.2", "gC m-2", "20031101", "Litter includes all litter from 1 m above forest floor to the top of the canopy.  Litter does not include herbaceous layer below 1 m.", "28.3", "50", "Litter collected from litter traps of .264 m^2 in area.  One trap in each of 49 - 0.08 ha plots and 20 traps in a 1.13 ha plot with flux tower at plot center.  Litter includes foliage, seeds, flowers, fine woody debris.", "20041101", "30", 
"US-UMB", "18535", "GRP_AG_LIT_PROD", "133.9", "gC m-2", "20071101", "Litter includes all litter from 1 m above forest floor to the top of the canopy.  Litter does not include herbaceous layer below 1 m.", "30.1", "15", "Litter collected from litter traps of .264 m^2 in area.  Three traps in each of 14 - 0.08 ha plots and 20 traps in a 1.13 ha plot with flux tower at plot center.  Litter includes foliage, seeds, flowers, fine woody debris.", "20081101", "30", 
"US-UMB", "18543", "GRP_AG_LIT_PROD", "178.9", "gC m-2", "20081101", "Litter includes all litter from 1 m above forest floor to the top of the canopy.  Litter does not include herbaceous layer below 1 m.", "25.2", "15", "Litter collected from litter traps of .264 m^2 in area.  Three traps in each of 14 - 0.08 ha plots and 20 traps in a 1.13 ha plot with flux tower at plot center.  Litter includes foliage, seeds, flowers, fine woody debris.", "20091101", "30", 
"US-UMB", "18551", "GRP_AG_LIT_PROD", "152", "gC m-2", "20091101", "Litter includes all litter from 1 m above forest floor to the top of the canopy.  Litter does not include herbaceous layer below 1 m.", "47.3", "13", "Litter collected from litter traps of .264 m^2 in area.  Three traps in each of 12 - 0.08 ha plots and 20 traps in a 1.13 ha plot with flux tower at plot center.  Litter includes foliage, seeds, flowers, fine woody debris.", "20101101", "30", 
"US-UMd", "18605", "GRP_AG_LIT_PROD", "158.8", "gC m-2", "20071101", "Litter includes all litter from 1 m above forest floor to the top of the canopy.  Litter does not include herbaceous layer below 1 m.", "28.3", "12", "Litter collected from litter traps of .264 m^2 in area.  Three traps in each of 11 - 0.08 ha plots and 20 traps in a single 1.13 ha plot with flux tower at plot center.  Litter includes foliage, seeds, flowers, fine woody debris.", "20081101", "30", 
"US-UMd", "18614", "GRP_AG_LIT_PROD", "184.1", "gC m-2", "20081101", "Litter includes all litter from 1 m above forest floor to the top of the canopy.  Litter does not include herbaceous layer below 1 m.", "46.2", "12", "Litter collected from litter traps of .264 m^2 in area.  Three traps in each of 11 - 0.08 ha plots and 20 traps in a single 1.13 ha plot with flux tower at plot center.  Litter includes foliage, seeds, flowers, fine woody debris.", "20091101", "30", 
"US-UMd", "18625", "GRP_AG_LIT_PROD", "137.7", "gC m-2", "20121101", "Litter includes all litter from 1 m above forest floor to the top of the canopy.  Litter does not include herbaceous layer below 1 m.", "20.3", "12", "Litter collected from litter traps of .264 m^2 in area.  Three traps in each of 11 - 0.08 ha plots and 20 traps in a single 1.13 ha plot with flux tower at plot center.  Litter includes foliage, seeds, flowers, fine woody debris.", "20131101", "30", 
"US-UMd", "18647", "GRP_AG_LIT_PROD", "114.1", "gC m-2", "20060807", "Litter includes all litter from 1 m above forest floor to the top of the canopy.  Litter does not include herbaceous layer below 1 m.", "21.03", "22", "Litter collected from litter traps of .264 m^2 in area.  One - 3 traps in each of 21 - 0.08 ha plots and 20 traps in a single 1.13 ha plot with flux tower at plot center.  Litter includes foliage, seeds, flowers, fine woody debris.", "20061101", "30", 
"US-UMd", "18658", "GRP_AG_LIT_PROD", "139.3", "gC m-2", "20061101", "Litter includes all litter from 1 m above forest floor to the top of the canopy.  Litter does not include herbaceous layer below 1 m.", "25.9", "23", "Litter collected from litter traps of .264 m^2 in area.  One - 3 traps in each of 21 - 0.08 ha plots and 20 traps in a single 1.13 ha plot with flux tower at plot center.  Litter includes foliage, seeds, flowers, fine woody debris.", "20071101", "30", 
"US-UMd", "18664", "GRP_AG_LIT_PROD", "135.5", "gC m-2", "20091101", "Litter includes all litter from 1 m above forest floor to the top of the canopy.  Litter does not include herbaceous layer below 1 m.", "29.7", "12", "Litter collected from litter traps of .264 m^2 in area.  Three traps in each of 11 - 0.08 ha plots and 20 traps in a single 1.13 ha plot with flux tower at plot center.  Litter includes foliage, seeds, flowers, fine woody debris.", "20101101", "30", 
"US-UMd", "18672", "GRP_AG_LIT_PROD", "150.7", "gC m-2", "20101101", "Litter includes all litter from 1 m above forest floor to the top of the canopy.  Litter does not include herbaceous layer below 1 m.", "34.4", "12", "Litter collected from litter traps of .264 m^2 in area.  Three traps in each of 11 - 0.08 ha plots and 20 traps in a single 1.13 ha plot with flux tower at plot center.  Litter includes foliage, seeds, flowers, fine woody debris.", "20111101", "30", 
"US-UMd", "18680", "GRP_AG_LIT_PROD", "159.5", "gC m-2", "20111101", "Litter includes all litter from 1 m above forest floor to the top of the canopy.  Litter does not include herbaceous layer below 1 m.", "28.8", "12", "Litter collected from litter traps of .264 m^2 in area.  Three traps in each of 11 - 0.08 ha plots and 20 traps in a single 1.13 ha plot with flux tower at plot center.  Litter includes foliage, seeds, flowers, fine woody debris.", "20121101", "30", 
"US-WCr", "27338", "GRP_AG_LIT_PROD", "133", "gC m-2", , "Cook et al 2004, Table 1", , , , , , 
"US-WCr", "27339", "GRP_AG_LIT_PROD", "139", "gC m-2", , "sugar maple. Cook et al., 2008, Table 1", , , , , , 
"US-WCr", "27340", "GRP_AG_LIT_PROD", "33", "gC m-2", , "green ash. Cook et al., 2008, Table 1", , , , , , 
"US-WCr", "27588", "GRP_AG_LIT_PROD", "20", "gC m-2", , "red oak. Cook et al., 2008, Table 1", , , , , , 
"US-WCr", "27959", "GRP_AG_LIT_PROD", "33", "gC m-2", , "basswood. Cook et al., 2008, Table 1", , , , , , 
"US-WCr", "29502", "GRP_AG_LIT_PROD", "140.16", "gC m-2", , "www.cheas.psu.edu", , , , , , 
