"SITE_ID", "GROUP_ID", "VARIABLE_GROUP", "BIOMASS_N", "BIOMASS_N_SPATIAL_VARIABILITY", "BIOMASS_ORGAN", "BIOMASS_PHEN", "BIOMASS_SPP", "BIOMASS_COMMENT", "BIOMASS_C", "BIOMASS_DATE", "BIOMASS_CN_RATIO", 
"CA-Let", "26618", "GRP_BIOMASS_CHEM", "0.291", , "Total", "Mixed/unknown", "(All)", "all above-ground green parts ; measured using elemental analyzer (NC2500)", "4.365", "20050505", , 
"CA-Let", "26619", "GRP_BIOMASS_CHEM", "0.197", , "Total", "Mixed/unknown", "(All)", "all above-ground green parts ; measured using elemental analyzer (NC2500)", "4.5", "20051012", , 
"CA-Man", "25762", "GRP_BIOMASS_CHEM", "0.079", , "Total", "Mixed/unknown", "(Unknown)", "data from Bergeron et al. (2007)", , , , 
"CA-Mer", "25329", "GRP_BIOMASS_CHEM", "0.041", , "Total", "Mixed/unknown", "CHCA2 (NRCS plant code)", "values from litter sample. Carlo Erba NC-2500 elemental analyzer, Moore et al. (2007, Ecosystems 10, 949-963)", , "20030831", , 
"CA-Mer", "25330", "GRP_BIOMASS_CHEM", , , "Total", "Mixed/unknown", "CHCA2 (NRCS plant code)", "values from litter sample. Carlo Erba NC-2500 elemental analyzer, Moore et al. (2007, Ecosystems 10, 949-963)", "4.63", "20030831", , 
"CA-Mer", "25593", "GRP_BIOMASS_CHEM", "0.081", , "Total", "Mixed/unknown", "SPCA70 (NRCS plant code)", "values from litter sample. Carlo Erba NC-2500 elemental analyzer, Moore et al. (2007, Ecosystems 10, 949-963)", "4.31", "20030831", , 
"CA-Mer", "25594", "GRP_BIOMASS_CHEM", "0.085", , "Total", "Mixed/unknown", "SPMA70 (NRCS plant code)", "values from litter sample. Carlo Erba NC-2500 elemental analyzer, Moore et al. (2007, Ecosystems 10, 949-963)", "4.32", "20030831", , 
"CA-Mer", "25708", "GRP_BIOMASS_CHEM", "0.094", , "Total", "Mixed/unknown", "POST70 (NRCS plant code)", "values from litter sample. Carlo Erba NC-2500 elemental analyzer, Moore et al. (2007, Ecosystems 10, 949-963)", "4.32", "20030831", , 
"CA-Mer", "25946", "GRP_BIOMASS_CHEM", , , "Total", "Mixed/unknown", "CHCA2 (NRCS plant code)", "values from litter sample. Carlo Erba NC-2500 elemental analyzer, Moore et al. (2007, Ecosystems 10, 949-963)", "5.06", "20030831", , 
"CA-Mer", "26461", "GRP_BIOMASS_CHEM", "0.108", , "Total", "Mixed/unknown", "CHCA2 (NRCS plant code)", "values from litter sample. Carlo Erba NC-2500 elemental analyzer, Moore et al. (2007, Ecosystems 10, 949-963)", , "20030831", , 
"CA-NS1", "24020", "GRP_BIOMASS_CHEM", "0.06575", , "Total", "Mixed/unknown", "(All)", "Bond-Lamberty et al (2006). "Nitrogen Dynamics of a boreal black spruce chronosequence" Biogeochemistry 81:1-16", , , , 
"CA-NS2", "23642", "GRP_BIOMASS_CHEM", "0.06575", , "Total", "Mixed/unknown", "(All)", "Bond-Lamberty et al (2006). "Nitrogen Dynamics of a boreal black spruce chronosequence" Biogeochemistry 81:1-16", , , , 
"CA-NS3", "24798", "GRP_BIOMASS_CHEM", "0.111", , "Total", "Mixed/unknown", "(All)", "Andrew McMillan: Based on a crude wtd average of published values from Bond-Lamberty et al (2006) Biogeochemistry 81:1-16 Aspen = 2.05 Black Spruce (NF) = 0.77 Black Spruce (OF) = .62 NF = new foliage OF = old foliage", , , , 
"CA-NS5", "24280", "GRP_BIOMASS_CHEM", "0.0915", , "Total", "Mixed/unknown", "(All)", "Andrew McMillan: Andrew McMillan: Based on Jack pine SLA of 30% new leaves at 10.9 g/kg and 70% old leaves at 8.4 m2/kg", , , , 
"CA-NS6", "23904", "GRP_BIOMASS_CHEM", "0.195", , "Total", "Mixed/unknown", "(All)", , , , , 
"CA-NS7", "24411", "GRP_BIOMASS_CHEM", "0.136", , "Total", "Mixed/unknown", "(All)", , , , , 
"CA-Oas", "25327", "GRP_BIOMASS_CHEM", "0.322", , "Total", "Mixed/unknown", "POTR5 (NRCS plant code)", "data from Middleton et al. 1997 (J Geophy Res 102, 28831-28844)", "5.15", "19940611", , 
"CA-Oas", "25700", "GRP_BIOMASS_CHEM", "0.228", , "Total", "Mixed/unknown", "POTR5 (NRCS plant code)", "Varian SpectrAA 220 Atomic Absorbtion", , "20060816", , 
"CA-Oas", "25701", "GRP_BIOMASS_CHEM", "0.251", , "Total", "Mixed/unknown", "POTR5 (NRCS plant code)", "data from Middleton et al. 1997 (J Geophy Res 102, 28831-28844)", "4.97", "19940803", , 
"CA-Oas", "25828", "GRP_BIOMASS_CHEM", "0.179", , "Total", "Mixed/unknown", "POTR5 (NRCS plant code)", "data from Middleton et al. 1997 (J Geophy Res 102, 28831-28844)", "5.74", "19940902", , 
"CA-Oas", "25942", "GRP_BIOMASS_CHEM", "0.247", , "Total", "Mixed/unknown", "COCO6 (NRCS plant code)", "data from Middleton et al. 1997 (J Geophy Res 102, 28831-28844)", "4.61", "19940803", , 
"CA-Oas", "26207", "GRP_BIOMASS_CHEM", "0.302", , "Total", "Mixed/unknown", "COCO6 (NRCS plant code)", "data from Middleton et al. 1997 (J Geophy Res 102, 28831-28844)", "4.62", "19940611", , 
"CA-Oas", "26456", "GRP_BIOMASS_CHEM", "0.182", , "Total", "Mixed/unknown", "COCO6 (NRCS plant code)", "data from Middleton et al. 1997 (J Geophy Res 102, 28831-28844)", "4.89", "19940902", , 
"CA-Obs", "25713", "GRP_BIOMASS_CHEM", "0.087", , "Total", "Mixed/unknown", "PIMA (NRCS plant code)", "Middleton et al. 1997(J Geophy Res 102, 28831-28844)", , "20050830", , 
"CA-Obs", "25833", "GRP_BIOMASS_CHEM", "0.084", , "Total", "Mixed/unknown", "PIMA (NRCS plant code)", "Middleton et al. 1997(J Geophy Res 102, 28831-28844)", "5.33", "19940913", , 
"CA-Obs", "26343", "GRP_BIOMASS_CHEM", "0.085", , "Total", "Mixed/unknown", "PIMA (NRCS plant code)", "Middleton et al. 1997(J Geophy Res 102, 28831-28844)", "5.24", "19940728", , 
"CA-Obs", "26598", "GRP_BIOMASS_CHEM", "0.076", , "Total", "Mixed/unknown", "PIMA (NRCS plant code)", "Middleton et al. 1997(J Geophy Res 102, 28831-28844)", "5.09", "19940601", , 
"CA-Ojp", "25247", "GRP_BIOMASS_CHEM", "0.097", , "Total", "Mixed/unknown", "PIBA2 (NRCS plant code)", "data from Middleton et al. 1997 (J Geophy Res 102, 28831-28844)", "5.12", "19940906", , 
"CA-Ojp", "26397", "GRP_BIOMASS_CHEM", "0.081", , "Total", "Mixed/unknown", "PIBA2 (NRCS plant code)", "data from Middleton et al. 1997 (J Geophy Res 102, 28831-28844)", "5.29", "19940531", , 
"CA-Ojp", "26398", "GRP_BIOMASS_CHEM", "0.085", , "Total", "Mixed/unknown", "PIBA2 (NRCS plant code)", "data from Middleton et al. 1997 (J Geophy Res 102, 28831-28844)", "4.36", "19940725", , 
"CA-Ojp", "27661", "GRP_BIOMASS_CHEM", "0.124", "0.003", "Total", "Mixed/unknown", "PIBA2 (NRCS plant code)", "Measured using Varian SpectrAA 220", , "20050920", , 
"CA-Ojp", "28377", "GRP_BIOMASS_CHEM", "0.118", "0.001", "Total", "Mixed/unknown", "PIBA2 (NRCS plant code)", "Measured using Varian SpectrAA 220", , "20040915", , 
"CA-Qfo", "25385", "GRP_BIOMASS_CHEM", , , "Total", "Mixed/unknown", "PIMA (NRCS plant code)", "current-year needle", "5.182", "20040916", , 
"CA-Qfo", "25767", "GRP_BIOMASS_CHEM", , , "Total", "Mixed/unknown", "PIMA (NRCS plant code)", "2-year-old needle", "5.274", "20040916", , 
"CA-Qfo", "25768", "GRP_BIOMASS_CHEM", "0.088", , "Total", "Mixed/unknown", "(All)", "current-year needle", , "20040916", , 
"CA-Qfo", "25880", "GRP_BIOMASS_CHEM", "0.084", , "Total", "Mixed/unknown", "(All)", "2-year-old needle", , "20040916", , 
"CA-Qfo", "26003", "GRP_BIOMASS_CHEM", , , "Total", "Mixed/unknown", "PIMA (NRCS plant code)", "3-year-old needle", "5.286", "20040916", , 
"CA-Qfo", "26271", "GRP_BIOMASS_CHEM", "0.071", , "Total", "Mixed/unknown", "(All)", "3-year-old needle", , "20040916", , 
"CA-Qfo", "26529", "GRP_BIOMASS_CHEM", "0.065", , "Total", "Mixed/unknown", "(All)", "4-year-old needle", , "20040916", , 
"CA-Qfo", "26531", "GRP_BIOMASS_CHEM", , , "Total", "Mixed/unknown", "PIMA (NRCS plant code)", "4-year-old needle", "5.299", "20040916", , 
"CA-SF1", "26771", "GRP_BIOMASS_CHEM", "0.095", , "Total", "Mixed/unknown", "(Unknown)", "+/- 0.06", , , , 
"CA-SF2", "28830", "GRP_BIOMASS_CHEM", "0.107", , "Total", "Mixed/unknown", "(Unknown)", "+/-0.03; deciduous and coniferous trees", , , , 
"CA-SF3", "26772", "GRP_BIOMASS_CHEM", "0.135", , "Total", "Mixed/unknown", "(Unknown)", "+/-0.14; young deciduous and coniferous trees", , , , 
"CA-SJ1", "27277", "GRP_BIOMASS_CHEM", "0.15", , "Total", "Mixed/unknown", "(Unknown)", "measured followed Fluxnet-Canada protocol", , "20030916", , 
"CA-SJ3", "27556", "GRP_BIOMASS_CHEM", "0.12", , "Total", "Mixed/unknown", "PIBA2 (NRCS plant code)", "Followed fluxnet-canada protocols", , "20050919", , 
"CA-TP1", "26715", "GRP_BIOMASS_CHEM", "0.213", , "Total", "Mixed/unknown", "PIST (NRCS plant code)", , , "20050920", , 
"CA-TP2", "28523", "GRP_BIOMASS_CHEM", "0.134", , "Total", "Mixed/unknown", "PIST (NRCS plant code)", , , "20050920", , 
"CA-TP3", "29011", "GRP_BIOMASS_CHEM", "0.113", , "Total", "Mixed/unknown", "PIST (NRCS plant code)", , , "20050920", , 
"CA-TP4", "26525", "GRP_BIOMASS_CHEM", "0.1385", , "Total", "Mixed/unknown", "PIST (NRCS plant code)", , , "20050920", , 
"CA-WP1", "25222", "GRP_BIOMASS_CHEM", "0.1676", , "Total", "Mixed/unknown", "LALA (NRCS plant code)", "elemental analyzer and quantified using a gas isotope ratio mass spectrometer", "5.07", "20040901", , 
"CA-WP1", "25373", "GRP_BIOMASS_CHEM", "0.1323", , "Total", "Mixed/unknown", "LALA (NRCS plant code)", "elemental analyzer and quantified using a gas isotope ratio mass spectrometer", "5.09", "20050902", , 
"CA-WP1", "25485", "GRP_BIOMASS_CHEM", "0.0753", , "Total", "Mixed/unknown", "PIMA (NRCS plant code)", "elemental analyzer and quantified using a gas isotope ratio mass spectrometer", "5.07", "20050902", , 
"CA-WP1", "25747", "GRP_BIOMASS_CHEM", "0.07", , "Total", "Mixed/unknown", "PIMA (NRCS plant code)", "elemental analyzer and quantified using a gas isotope ratio mass spectrometer", "5.14", "20030902", , 
"CA-WP1", "26376", "GRP_BIOMASS_CHEM", "0.1637", , "Total", "Mixed/unknown", "LALA (NRCS plant code)", "elemental analyzer and quantified using a gas isotope ratio mass spectrometer", "5.03", "20030902", , 
"CA-WP1", "26632", "GRP_BIOMASS_CHEM", "0.0813", , "Total", "Mixed/unknown", "PIMA (NRCS plant code)", "elemental analyzer and quantified using a gas isotope ratio mass spectrometer", "5.07", "20040901", , 
"CA-WP2", "24152", "GRP_BIOMASS_CHEM", "0.078", , "Total", "Mixed/unknown", "(All)", "Glenn_et_al_AgricForestMeteorol_2006 (140):115-135 page115", , , , 
"CA-WP3", "24927", "GRP_BIOMASS_CHEM", "0.193", , "Total", "Mixed/unknown", "(All)", "Glenn_et_al_AgricForestMeteorol_2006 (140):115-135 page115", , , , 
"US-ARb", "24279", "GRP_BIOMASS_CHEM", "0.0710341", , "Total", "Mixed/unknown", "(All)", "green at max LAI (Aug 2005)", , , , 
"US-ARc", "24153", "GRP_BIOMASS_CHEM", "0.0945", , "Total", "Mixed/unknown", "(All)", "green at max LAI (Aug 2005)", , , , 
"US-ARM", "23958", "GRP_BIOMASS_CHEM", , , "Total", "Mixed/unknown", "TRAE (NRCS plant code)", , "4.5", "20030530", , 
"US-ARM", "25114", "GRP_BIOMASS_CHEM", , , "Total", "Mixed/unknown", "TRAE (NRCS plant code)", , "4.5", "20040529", , 
"US-ARM", "27811", "GRP_BIOMASS_CHEM", "0.35", , "Total", "Mixed/unknown", "TRAE (NRCS plant code)", "Email from mlfischer@lbl.gov.", , "20040529", , 
"US-ARM", "27812", "GRP_BIOMASS_CHEM", "0.36", , "Total", "Mixed/unknown", "TRAE (NRCS plant code)", "Email from mlfischer@lbl.gov.", , "20030530", , 
"US-Bar", "27181", "GRP_BIOMASS_CHEM", "0.155", , "Total", "Mixed/unknown", "ACSA3 (NRCS plant code)", "Canopy average foliar N: 1.73% (2004), 1.58% (2005)", , "20040728", , 
"US-Bar", "27182", "GRP_BIOMASS_CHEM", "0.219", , "Total", "Mixed/unknown", "BEPA (NRCS plant code)", "Canopy average foliar N: 1.73% (2004), 1.58% (2005)", , "20040728", , 
"US-Bar", "27727", "GRP_BIOMASS_CHEM", "0.172", , "Total", "Mixed/unknown", "ACRU (NRCS plant code)", "Canopy average foliar N: 1.73% (2004), 1.58% (2005)", , "20040728", , 
"US-Bar", "28428", "GRP_BIOMASS_CHEM", "0.255", , "Total", "Mixed/unknown", "POGR4 (NRCS plant code)", "Canopy average foliar N: 1.73% (2004), 1.58% (2005)", , "20040728", , 
"US-Bar", "28777", "GRP_BIOMASS_CHEM", "0.21", , "Total", "Mixed/unknown", "FAGR (NRCS plant code)", "Canopy average foliar N: 1.73% (2004), 1.58% (2005)", , "20040728", , 
"US-Bar", "28778", "GRP_BIOMASS_CHEM", "0.208", , "Total", "Mixed/unknown", "FRAM2 (NRCS plant code)", "Canopy average foliar N: 1.73% (2004), 1.58% (2005)", , "20040728", , 
"US-Bar", "28779", "GRP_BIOMASS_CHEM", "0.091", , "Total", "Mixed/unknown", "PIRU (NRCS plant code)", "Canopy average foliar N: 1.73% (2004), 1.58% (2005)", , "20040728", , 
"US-Bar", "28780", "GRP_BIOMASS_CHEM", "0.143", , "Total", "Mixed/unknown", "PIST (NRCS plant code)", "Canopy average foliar N: 1.73% (2004), 1.58% (2005)", , "20040728", , 
"US-Bar", "28808", "GRP_BIOMASS_CHEM", "0.211", , "Total", "Mixed/unknown", "ACPE (NRCS plant code)", "Canopy average foliar N: 1.73% (2004), 1.58% (2005)", , "20040728", , 
"US-Bar", "29416", "GRP_BIOMASS_CHEM", "0.222", , "Total", "Mixed/unknown", "BEAL2 (NRCS plant code)", "Canopy average foliar N: 1.73% (2004), 1.58% (2005)", , "20040728", , 
"US-Blo", "23664", "GRP_BIOMASS_CHEM", "0.1407", , "Total", "Mixed/unknown", "(All)", "see extra data file US-Blo_Ncontent_leaves.xls", , , , 
"US-Dk3", "26668", "GRP_BIOMASS_CHEM", "0.1", , "Total", "Mixed/unknown", "PITA (NRCS plant code)", "Data from http://face.env.duke.edu/face.cfm", , "2001", , 
"US-Dk3", "27255", "GRP_BIOMASS_CHEM", "0.0141", , "Total", "Mixed/unknown", "PITA (NRCS plant code)", "Data from http://face.env.duke.edu/face.cfm", , "2003", , 
"US-Dk3", "27256", "GRP_BIOMASS_CHEM", "0.0148", , "Total", "Mixed/unknown", "PITA (NRCS plant code)", "Data from http://face.env.duke.edu/face.cfm", , "2005", , 
"US-Dk3", "27535", "GRP_BIOMASS_CHEM", "0.103", , "Total", "Mixed/unknown", "PITA (NRCS plant code)", "Data from http://face.env.duke.edu/face.cfm", , "2005", , 
"US-Dk3", "27536", "GRP_BIOMASS_CHEM", "0.0143", , "Total", "Mixed/unknown", "PITA (NRCS plant code)", "Data from http://face.env.duke.edu/face.cfm", , "2002", , 
"US-Dk3", "27891", "GRP_BIOMASS_CHEM", , , "Total", "Mixed/unknown", "PITA (NRCS plant code)", "Oren R, Ellsworth DS, Johnsen KH et al. (2001) Soil fertility limits carbon sequestration by forest ecosystems in a CO2 - enriched atmosphere. Nature, 411, 469-472", "4.8", , , 
"US-Dk3", "28143", "GRP_BIOMASS_CHEM", "0.0159", , "Total", "Mixed/unknown", "PITA (NRCS plant code)", "Data from http://face.env.duke.edu/face.cfm", , "2004", , 
"US-Dk3", "28256", "GRP_BIOMASS_CHEM", "0.098", , "Total", "Mixed/unknown", "PITA (NRCS plant code)", "Data from http://face.env.duke.edu/face.cfm", , "2004", , 
"US-Dk3", "28485", "GRP_BIOMASS_CHEM", "0.099", , "Total", "Mixed/unknown", "PITA (NRCS plant code)", "Data from http://face.env.duke.edu/face.cfm", , "2002", , 
"US-Dk3", "28776", "GRP_BIOMASS_CHEM", "0.106", , "Total", "Mixed/unknown", "PITA (NRCS plant code)", "Data from http://face.env.duke.edu/face.cfm", , "2003", , 
"US-Dk3", "28986", "GRP_BIOMASS_CHEM", "0.0148", , "Total", "Mixed/unknown", "PITA (NRCS plant code)", "Data from http://face.env.duke.edu/face.cfm", , "2001", , 
"US-Fmf", "27371", "GRP_BIOMASS_CHEM", "0.12", , "Total", "Mixed/unknown", "PIPO (NRCS plant code)", "pinus ponderosa; from different local studies", , , , 
"US-FR2", "24154", "GRP_BIOMASS_CHEM", "0.175", , "Total", "Mixed/unknown", "(All)", "(range .9-2.6) (g kg-1) Ashe juniper (10-13) , Honey mesquite (25-26), King Ranch Bluestem (9-17)", , , , 
"US-Fuf", "28602", "GRP_BIOMASS_CHEM", "0.12", , "Total", "Mixed/unknown", "PIPO (NRCS plant code)", "pinus ponderosa; from different local studies", , , , 
"US-Ha1", "24196", "GRP_BIOMASS_CHEM", "0.2", , "Total", "Mixed/unknown", "ACRU (NRCS plant code)", , "5.036", "20060717", , 
"US-Ha1", "24197", "GRP_BIOMASS_CHEM", "0.102", , "Total", "Mixed/unknown", "TSCA (NRCS plant code)", , "5.024", "20060717", , 
"US-Ha1", "24322", "GRP_BIOMASS_CHEM", "0.178", , "Total", "Mixed/unknown", "ACRU (NRCS plant code)", , "5.126", "20000731", , 
"US-Ha1", "24455", "GRP_BIOMASS_CHEM", "0.176", , "Total", "Mixed/unknown", "ACRU (NRCS plant code)", , "5.094", "19980715", , 
"US-Ha1", "24844", "GRP_BIOMASS_CHEM", "0.224", , "Total", "Mixed/unknown", "QURU (NRCS plant code)", , "5.129", "19980715", , 
"US-Ha1", "24845", "GRP_BIOMASS_CHEM", "0.247", , "Total", "Mixed/unknown", "QURU (NRCS plant code)", , "5.005", "20070725", , 
"US-Ha1", "24964", "GRP_BIOMASS_CHEM", "0.229", , "Total", "Mixed/unknown", "QURU (NRCS plant code)", , "5.106", "20000731", , 
"US-Ha1", "24965", "GRP_BIOMASS_CHEM", "0.124", , "Total", "Mixed/unknown", "TSCA (NRCS plant code)", , "5.176", "20000731", , 
"US-Ha1", "24966", "GRP_BIOMASS_CHEM", "0.206", , "Total", "Mixed/unknown", "ACRU (NRCS plant code)", , "4.995", "20070725", , 
"US-Ha1", "25099", "GRP_BIOMASS_CHEM", "0.232", , "Total", "Mixed/unknown", "QURU (NRCS plant code)", , "5.001", "20060717", , 
"US-Ha1", "25100", "GRP_BIOMASS_CHEM", "0.123", , "Total", "Mixed/unknown", "TSCA (NRCS plant code)", , "5.064", "20070725", , 
"US-Ha1", "27397", "GRP_BIOMASS_CHEM", "0.247", , "Total", "Mixed/unknown", "BEAL2 (NRCS plant code)", , "4.804", "20060717", , 
"US-Ha1", "27398", "GRP_BIOMASS_CHEM", "0.233", , "Total", "Mixed/unknown", "BEAL2 (NRCS plant code)", , "4.864", "20070725", , 
"US-Ha1", "27399", "GRP_BIOMASS_CHEM", "0.213", , "Total", "Mixed/unknown", "BEAL2 (NRCS plant code)", , "5.074", "20000731", , 
"US-Ha1", "28353", "GRP_BIOMASS_CHEM", "0.244", , "Total", "Mixed/unknown", "QURU (NRCS plant code)", , "4.998", "20080731", , 
"US-Ha1", "28621", "GRP_BIOMASS_CHEM", "0.219", , "Total", "Mixed/unknown", "BEAL2 (NRCS plant code)", , "4.912", "20080820", , 
"US-Ha1", "29551", "GRP_BIOMASS_CHEM", "0.201", , "Total", "Mixed/unknown", "ACRU (NRCS plant code)", , "5.01", "20080731", , 
"US-Ha1", "29552", "GRP_BIOMASS_CHEM", "0.146", , "Total", "Mixed/unknown", "TSCA (NRCS plant code)", , "5.066", "20080820", , 
"US-Ha2", "24410", "GRP_BIOMASS_CHEM", "0.1425", , "Total", "Mixed/unknown", "(All)", "(range 1.18-1.67) (g kg-1) 14.1-16.7   Mature first year foliage measured September 1997  11.8-13.5    1 year old foliage measured September 1997", , , , 
"US-Ho1", "24095", "GRP_BIOMASS_CHEM", "0.113", , "Total", "Mixed/unknown", "TSCA (NRCS plant code)", "230/2001-3", , , , 
"US-Ho1", "24213", "GRP_BIOMASS_CHEM", "0.106", , "Total", "Mixed/unknown", "(All)", "PIRU=0.99, TSCA=1.13 (230/2001-3)", , , , 
"US-Ho1", "24220", "GRP_BIOMASS_CHEM", "0.0061", , "Total", "Mixed/unknown", "(All)", "heart wood", , "20030818", , 
"US-Ho1", "25118", "GRP_BIOMASS_CHEM", , , "Total", "Mixed/unknown", "(All)", , "4.7", "19990818", , 
"US-Ho1", "25136", "GRP_BIOMASS_CHEM", "0.099", , "Total", "Mixed/unknown", "PIRU (NRCS plant code)", "230/2001-3", , , , 
"US-Ho2", "23963", "GRP_BIOMASS_CHEM", , , "Total", "Mixed/unknown", "(All)", "same as Main (US-Ho1)", "4.7", "19990818", , 
"US-Ho2", "24214", "GRP_BIOMASS_CHEM", "0.106", , "Total", "Mixed/unknown", "(All)", , , , , 
"US-Ho2", "24249", "GRP_BIOMASS_CHEM", "0.11", , "Total", "Mixed/unknown", "TSCA (NRCS plant code)", "10degrees-250degrees; Different concentrations in different sectors.", , , , 
"US-Ho2", "24597", "GRP_BIOMASS_CHEM", "0.0061", , "Total", "Mixed/unknown", "(All)", "heart wood", , "20030818", , 
"US-Ho2", "24637", "GRP_BIOMASS_CHEM", "0.123", , "Total", "Mixed/unknown", "TSCA (NRCS plant code)", "250degrees-10degrees; Different concentrations in different sectors.", , , , 
"US-Ho2", "25005", "GRP_BIOMASS_CHEM", "0.093", , "Total", "Mixed/unknown", "PIRU (NRCS plant code)", "10degrees-250degrees; Different concentrations in different sectors.", , , , 
"US-Ho2", "25006", "GRP_BIOMASS_CHEM", "0.096", , "Total", "Mixed/unknown", "PIRU (NRCS plant code)", "250degrees-10degrees; Different concentrations in different sectors.", , , , 
"US-Ho3", "24221", "GRP_BIOMASS_CHEM", "0.0061", , "Total", "Mixed/unknown", "(All)", "heart wood", , "20030818", , 
"US-Ho3", "25119", "GRP_BIOMASS_CHEM", , , "Total", "Mixed/unknown", "(All)", "same as Main (US-Ho1)", "4.7", "19990818", , 
"US-IB2", "23868", "GRP_BIOMASS_CHEM", "0.057", , "Total", "Mixed/unknown", "SONU2 (NRCS plant code)", , "4.45", "2001", , 
"US-IB2", "24772", "GRP_BIOMASS_CHEM", "0.099", , "Total", "Mixed/unknown", "All forbs", , "4.46", "2001", , 
"US-IB2", "25016", "GRP_BIOMASS_CHEM", "0.057", , "Total", "Mixed/unknown", "ANGE (NRCS plant code)", , "4.45", "2001", , 
"US-KS2", "23772", "GRP_BIOMASS_CHEM", "0.12", , "Total", "Mixed/unknown", "(All)", "N content between April and December, source: Li et al. 2000 Global Change Biology 6:727-733", , , , 
"US-Me2", "24954", "GRP_BIOMASS_CHEM", "0.093", , "Total", "Mixed/unknown", "PIPO (NRCS plant code)", , "5.3", "2001", , 
"US-Me3", "23773", "GRP_BIOMASS_CHEM", "0.113", , "Total", "Mixed/unknown", "(All)", , , , , 
"US-Me4", "24049", "GRP_BIOMASS_CHEM", , , "Total", "Mixed/unknown", "PIPO (NRCS plant code)", , "5.1", "2001", , 
"US-Me4", "24836", "GRP_BIOMASS_CHEM", "0.116", , "Total", "Mixed/unknown", "PIPO (NRCS plant code)", , , "2001", , 
"US-Me4", "25089", "GRP_BIOMASS_CHEM", , , "Total", "Mixed/unknown", "PIPO (NRCS plant code)", , "5.2", "2001", , 
"US-Me4", "25093", "GRP_BIOMASS_CHEM", "0.104", , "Total", "Mixed/unknown", "PIPO (NRCS plant code)", , , "2001", , 
"US-Me5", "24572", "GRP_BIOMASS_CHEM", "0.101", , "Total", "Mixed/unknown", "PIPO (NRCS plant code)", , "5.3", "2001", , 
"US-MMS", "25554", "GRP_BIOMASS_CHEM", "0.222", , "Total", "Mixed/unknown", "(All)", "Various", "4.731", , , 
"US-MOz", "23959", "GRP_BIOMASS_CHEM", "0.121", , "Total", "Mixed/unknown", "ACSAF (NRCS plant code)", "(Acer saccharum)", , "20060613", , 
"US-MOz", "23960", "GRP_BIOMASS_CHEM", "0.123", , "Total", "Mixed/unknown", "QUVE (NRCS plant code)", "(Quercus velutina)", , "20060613", , 
"US-MOz", "24067", "GRP_BIOMASS_CHEM", "0.209", , "Total", "Mixed/unknown", "QUVE (NRCS plant code)", "(Quercus velutina)", , "20070616", , 
"US-MOz", "24215", "GRP_BIOMASS_CHEM", "0.138", , "Total", "Mixed/unknown", "CAOV2 (NRCS plant code)", "(Carya ovata)", , "20060613", , 
"US-MOz", "24216", "GRP_BIOMASS_CHEM", "0.216", , "Total", "Mixed/unknown", "QUAL (NRCS plant code)", "(Quercus alba)", , "20070616", , 
"US-MOz", "24217", "GRP_BIOMASS_CHEM", "0.19", , "Total", "Mixed/unknown", "ACSAF (NRCS plant code)", "(Acer saccharum)", , "20070616", , 
"US-MOz", "24595", "GRP_BIOMASS_CHEM", "0.124", , "Total", "Mixed/unknown", "JUVI (NRCS plant code)", "(Juniperus virginiana)", , "20070616", , 
"US-MOz", "25115", "GRP_BIOMASS_CHEM", "0.142", , "Total", "Mixed/unknown", "QUAL (NRCS plant code)", "(Quercus alba)", , "20060613", , 
"US-MOz", "25116", "GRP_BIOMASS_CHEM", "0.073", , "Total", "Mixed/unknown", "JUVI (NRCS plant code)", "(Juniperus virginiana)", , "20060613", , 
"US-MOz", "25117", "GRP_BIOMASS_CHEM", "0.251", , "Total", "Mixed/unknown", "CAOV2 (NRCS plant code)", "(Carya ovata)", , "20070616", , 
"US-Ne1", "23743", "GRP_BIOMASS_CHEM", "0.342333", , "Total", "Mixed/unknown", "(All)", , "4.25542", "20010629", , 
"US-Ne1", "23744", "GRP_BIOMASS_CHEM", "0.3846", , "Total", "Mixed/unknown", "(All)", , "4.4074", "20030625", , 
"US-Ne1", "23745", "GRP_BIOMASS_CHEM", "0.32198", , "Total", "Mixed/unknown", "(All)", , "4.51588", "20030708", , 
"US-Ne1", "23884", "GRP_BIOMASS_CHEM", "0.3248", , "Total", "Mixed/unknown", "(All)", , "4.24522", "20010705", , 
"US-Ne1", "23885", "GRP_BIOMASS_CHEM", "0.30488", , "Total", "Mixed/unknown", "(All)", , "4.37562", "20030718", , 
"US-Ne1", "24009", "GRP_BIOMASS_CHEM", "0.1637", , "Total", "Mixed/unknown", "(All)", , "4.2136", "20020912", , 
"US-Ne1", "24122", "GRP_BIOMASS_CHEM", "0.42255", , "Total", "Mixed/unknown", "(All)", , "4.14145", "20010621", , 
"US-Ne1", "24126", "GRP_BIOMASS_CHEM", "0.293133", , "Total", "Mixed/unknown", "(All)", , "4.05512", "20010719", , 
"US-Ne1", "24127", "GRP_BIOMASS_CHEM", "0.332", , "Total", "Mixed/unknown", "(All)", , "4.4078", "20020729", , 
"US-Ne1", "24128", "GRP_BIOMASS_CHEM", "0.2111", , "Total", "Mixed/unknown", "(All)", , "4.1954", "20040907", , 
"US-Ne1", "24379", "GRP_BIOMASS_CHEM", "0.452517", , "Total", "Mixed/unknown", "(All)", , "4.26823", "20010613", , 
