"SITE_ID", "GROUP_ID", "VARIABLE_GROUP", "DBH", "DBH_HEIGHT", "DBH_DATE", "DBH_COMMENT", "DBH_SPATIAL_REP_NUMBER", "DBH_SPATIAL_VARIABILITY", "DBH_SPP", "DBH_APPROACH", "DBH_DATE_UNC", 
"US-Ha1", "17363", "GRP_DBH", "25.81", "1.3", "1993", "means and standard deviations are across all species in all plots. Spatial variability is # of stems", "15", "9.88", "Fraxinus americana", , , 
"US-Ha1", "17371", "GRP_DBH", "19.48", "1.3", "1993", "means and standard deviations are across all species in all plots. Spatial variability is # of stems", "14", "8.55", "Betula lenta", , , 
"US-Ha1", "17377", "GRP_DBH", "19.07", "1.3", "1993", "means and standard deviations are across all species in all plots. Spatial variability is # of stems", "9", "11.92", "Fagus grandifolia", , , 
"US-Ha1", "17383", "GRP_DBH", "27.84", "1.3", "1993", "means and standard deviations are across all species in all plots. Spatial variability is # of stems", "17", "8.57", "Quercus velutina", , , 
"US-Ha1", "17389", "GRP_DBH", "24.03", "1.3", "1993", "means and standard deviations are across all species in all plots. Spatial variability is # of stems", "18", "11.1", "Prunus serotina", , , 
"US-Ha1", "17395", "GRP_DBH", "18.8", "1.3", "1993", "means and standard deviations are across all species in all plots. Spatial variability is # of stems", "20", "4.05", "Betula populifolia", , , 
"US-Ha1", "17401", "GRP_DBH", "22.93", "1.3", "1993", "means and standard deviations are across all species in all plots. Spatial variability is # of stems", "82", "10.37", "Tsuga canadensis", , , 
"US-Ha1", "17407", "GRP_DBH", "17.94", "1.3", "1993", "means and standard deviations are across all species in all plots. Spatial variability is # of stems", "342", "6.75", "Acer rubrum", , , 
"US-Ha1", "17413", "GRP_DBH", "30.08", "1.3", "1993", "means and standard deviations are across all species in all plots. Spatial variability is # of stems", "161", "11.66", "Quercus rubra", , , 
"US-Ha1", "17419", "GRP_DBH", "28.13", "1.3", "1993", "means and standard deviations are across all species in all plots. Spatial variability is # of stems", "43", "8.33", "Pinus resinosa", , , 
"US-Ha1", "17425", "GRP_DBH", "12.02", "1.3", "1993", "means and standard deviations are across all species in all plots. Spatial variability is # of stems", "6", "1.17", "Acer pennsylvanicum", , , 
"US-Ha1", "17431", "GRP_DBH", "20.86", "1.3", "1993", "means and standard deviations are across all species in all plots. Spatial variability is # of stems", "9", "6.69", "Betula papyrifera", , , 
"US-Ha1", "17437", "GRP_DBH", "24.2", "1.3", "1993", "means and standard deviations are across all species in all plots. Spatial variability is # of stems", "41", "10.68", "Pinus strobus", , , 
"US-Ha1", "17443", "GRP_DBH", "17.17", "1.3", "1993", "means and standard deviations are across all species in all plots. Spatial variability is # of stems", "33", "3.72", "Picea glauca", , , 
"US-Ha1", "17449", "GRP_DBH", "16.48", "1.3", "1993", "means and standard deviations are across all species in all plots. Spatial variability is # of stems", "49", "6.8", "Betula alleghaniensis", , , 
"US-Ha1", "17455", "GRP_DBH", "27.11", "1.3", "19981030", "means and standard deviations are across all species in all plots. Spatial variability is # of stems", "14", "9.73", "Fraxinus americana", , , 
"US-Ha1", "17460", "GRP_DBH", "20.42", "1.3", "19981030", "means and standard deviations are across all species in all plots. Spatial variability is # of stems", "14", "8.5", "Betula lenta", , , 
"US-Ha1", "17465", "GRP_DBH", "19.69", "1.3", "19981030", "means and standard deviations are across all species in all plots. Spatial variability is # of stems", "10", "11.61", "Fagus grandifolia", , , 
"US-Ha1", "17470", "GRP_DBH", "29.74", "1.3", "19981030", "means and standard deviations are across all species in all plots. Spatial variability is # of stems", "16", "8.45", "Quercus velutina", , , 
"US-Ha1", "17475", "GRP_DBH", "24.41", "1.3", "19981030", "means and standard deviations are across all species in all plots. Spatial variability is # of stems", "18", "11.34", "Prunus serotina", , , 
"US-Ha1", "17479", "GRP_DBH", "19.53", "1.3", "19981030", "means and standard deviations are across all species in all plots. Spatial variability is # of stems", "14", "4.45", "Betula populifolia", , , 
"US-Ha1", "17483", "GRP_DBH", "24.21", "1.3", "19981030", "means and standard deviations are across all species in all plots. Spatial variability is # of stems", "82", "10.51", "Tsuga canadensis", , , 
"US-Ha1", "17487", "GRP_DBH", "18.27", "1.3", "19981030", "means and standard deviations are across all species in all plots. Spatial variability is # of stems", "322", "6.93", "Acer rubrum", , , 
"US-Ha1", "17491", "GRP_DBH", "31.17", "1.3", "19981030", "means and standard deviations are across all species in all plots. Spatial variability is # of stems", "160", "11.88", "Quercus rubra", , , 
"US-Ha1", "17495", "GRP_DBH", "28.78", "1.3", "19981030", "means and standard deviations are across all species in all plots. Spatial variability is # of stems", "42", "8.98", "Pinus resinosa", , , 
"US-Ha1", "17499", "GRP_DBH", "11.97", "1.3", "19981030", "means and standard deviations are across all species in all plots. Spatial variability is # of stems", "5", "1.31", "Acer pennsylvanicum", , , 
"US-Ha1", "17503", "GRP_DBH", "21.2", "1.3", "19981030", "means and standard deviations are across all species in all plots. Spatial variability is # of stems", "8", "7.32", "Betula papyrifera", , , 
"US-Ha1", "17507", "GRP_DBH", "24.82", "1.3", "19981030", "means and standard deviations are across all species in all plots. Spatial variability is # of stems", "42", "11.34", "Pinus strobus", , , 
"US-Ha1", "17511", "GRP_DBH", "17.62", "1.3", "19981030", "means and standard deviations are across all species in all plots. Spatial variability is # of stems", "30", "3.67", "Picea glauca", , , 
"US-Ha1", "17515", "GRP_DBH", "17.16", "1.3", "19981030", "means and standard deviations are across all species in all plots. Spatial variability is # of stems", "46", "6.84", "Betula alleghaniensis", , , 
"US-Ha1", "17520", "GRP_DBH", "27.75", "1.3", "20061114", "means and standard deviations are across all species in all plots. Spatial variability is # of stems", "3", "6.69", "Betula papyrifera", , , 
"US-Ha1", "17523", "GRP_DBH", "29.17", "1.3", "20061114", "means and standard deviations are across all species in all plots. Spatial variability is # of stems", "31", "12.86", "Pinus strobus", , , 
"US-Ha1", "17526", "GRP_DBH", "19.14", "1.3", "20061114", "means and standard deviations are across all species in all plots. Spatial variability is # of stems", "24", "3.18", "Picea glauca", , , 
"US-Ha1", "17529", "GRP_DBH", "18.32", "1.3", "20061114", "means and standard deviations are across all species in all plots. Spatial variability is # of stems", "36", "7.5", "Betula alleghaniensis", , , 
"US-Ha1", "17532", "GRP_DBH", "28.14", "1.3", "20071120", "means and standard deviations are across all species in all plots. Spatial variability is # of stems", "13", "10.28", "Fraxinus americana", , , 
"US-Ha1", "17535", "GRP_DBH", "19.09", "1.3", "20071120", "means and standard deviations are across all species in all plots. Spatial variability is # of stems", "13", "10.26", "Betula lenta", , , 
"US-Ha1", "17538", "GRP_DBH", "15.57", "1.3", "20071120", "means and standard deviations are across all species in all plots. Spatial variability is # of stems", "15", "6.27", "Fagus grandifolia", , , 
"US-Ha1", "17541", "GRP_DBH", "32.59", "1.3", "20071120", "means and standard deviations are across all species in all plots. Spatial variability is # of stems", "12", "10", "Quercus velutina", , , 
"US-Ha1", "17544", "GRP_DBH", "28.28", "1.3", "20071120", "means and standard deviations are across all species in all plots. Spatial variability is # of stems", "14", "11.17", "Prunus serotina", , , 
"US-Ha1", "17547", "GRP_DBH", "21.77", "1.3", "20071120", "means and standard deviations are across all species in all plots. Spatial variability is # of stems", "5", "4.63", "Betula populifolia", , , 
"US-Ha1", "17550", "GRP_DBH", "24.01", "1.3", "20071120", "means and standard deviations are across all species in all plots. Spatial variability is # of stems", "93", "11.48", "Tsuga canadensis", , , 
