"SITE_ID", "GROUP_ID", "VARIABLE_GROUP", "SOIL_TEX_CLAY", "SOIL_TEX_PROFILE_MIN", "SOIL_TEX_PROFILE_MAX", "SOIL_TEX_HORIZON", "SOIL_TEX_COMMENT", "SOIL_TEX_SAND", "SOIL_TEX_SILT", "SOIL_TEX_WATER_HOLD_CAP", "SOIL_TEX_DATE", "SOIL_TEX_ROCK", "SOIL_TEX_ROCK_SPATIAL_VARIABILITY", 
"CA-Oas", "25702", "GRP_SOIL_TEX", "22.1125", , , "C", "measured by BOREAS", "53.5575", "24.315", , , , , 
"CA-Oas", "25703", "GRP_SOIL_TEX", , "0", "48", , "measured by BOREAS", , , "12.41637312", , , , 
"CA-Oas", "25943", "GRP_SOIL_TEX", "10.054", , , "A", "measured by BOREAS", "48.62", "41.314", , , , , 
"CA-Oas", "25944", "GRP_SOIL_TEX", , "0", "14", , "measured by BOREAS", , , "3.127928125", , , , 
"CA-Oas", "26107", "GRP_SOIL_TEX", "24.228", , , "B", "measured by BOREAS", "48.771", "26.988", , , , , 
"CA-Oas", "26591", "GRP_SOIL_TEX", , "0", "21", , "measured by BOREAS", , , "4.65611328", , , , 
"CA-Obs", "25595", "GRP_SOIL_TEX", "5.77", "2", "5", "AB", "measured by BOREAS", "72.79", "21.42", , , , , 
"CA-Obs", "25598", "GRP_SOIL_TEX", , "42", "72", "Ck", "measured by BOREAS", "95.525", "2.875", , , , , 
"CA-Obs", "25949", "GRP_SOIL_TEX", "1.585", "42", "72", "Ck", , , , , , , , 
"CA-Obs", "26114", "GRP_SOIL_TEX", "2.1", "17", "42", "Bfj", "measured by BOREAS", "95.98", "1.9", , , , , 
"CA-Obs", "26462", "GRP_SOIL_TEX", "6.68", "5", "17", "Bt", "measured by BOREAS", "64.6", "28.7", , , , , 
"CA-Obs", "26599", "GRP_SOIL_TEX", "4.47", "0", "2", "Ae", "measured by BOREAS", "75.56", "19.96", , , , , 
"CA-Ojp", "25657", "GRP_SOIL_TEX", , "0", "0", , "measured by BOREAS", , , "0.1133125", , , , 
"CA-Ojp", "25658", "GRP_SOIL_TEX", , "0", "33.7", , "measured by BOREAS", , , "1.00372222222222", , , , 
"CA-Ojp", "25659", "GRP_SOIL_TEX", , "0", "83.3", , "measured by BOREAS", , , "1.557192", , , , 
"CA-Ojp", "25879", "GRP_SOIL_TEX", "2.785", , , "Ae", "measured by BOREAS", "94.285", "2.915", , , , , 
"CA-Ojp", "26000", "GRP_SOIL_TEX", "2.77", , , "Bm", "measured by BOREAS", "93.9233333333333", "3.29", , , , , 
"CA-Ojp", "26169", "GRP_SOIL_TEX", "1.76666666666667", , , "C1", "measured by BOREAS", "96.2933333333333", "1.92666666666667", , , , , 
"CA-Ojp", "26270", "GRP_SOIL_TEX", "2.67", , , "AB", "measured by BOREAS", "93.3766666666667", "3.94", , , , , 
"CA-Ojp", "26528", "GRP_SOIL_TEX", , "0", "2", , "measured by BOREAS", , , "0.241226844444444", , , , 
"CA-Qfo", "25507", "GRP_SOIL_TEX", "4", , , "Ae", "measured followed Fluxnet-Canada protocol", "51", "33", , , , , 
"CA-Qfo", "26657", "GRP_SOIL_TEX", "4", , , "B", "measured followed Fluxnet-Canada protocol", "52", "25", , , , , 
"CA-SJ1", "26144", "GRP_SOIL_TEX", "3", , , "Ae", "measured followed Fluxnet-Canada protocol", "93", "4", , , , , 
"CA-SJ1", "26495", "GRP_SOIL_TEX", "4", , , "BC", "measured followed Fluxnet-Canada protocol", "91", "5", , , , , 
"CA-SJ2", "26371", "GRP_SOIL_TEX", "3", , , "Ap", "measured followed Fluxnet-Canada protocol", "88", "9", , , , , 
"CA-SJ2", "26372", "GRP_SOIL_TEX", "1", , , "C", "measured followed Fluxnet-Canada protocol", "96", "3", , , , , 
"CA-SJ2", "27552", "GRP_SOIL_TEX", , "0", "30", , "expressed in percentage", , , "6.8", , , , 
"CA-SJ3", "26707", "GRP_SOIL_TEX", "3.5", , , "B", "measured by BOREAS", "89.9", "6.5", , , , , 
"CA-SJ3", "26996", "GRP_SOIL_TEX", "2.9", , , "A", "measured by BOREAS", "91.1", "5.9", , , , , 
"CA-SJ3", "28506", "GRP_SOIL_TEX", "2", , , "C", "measured by BOREAS", "95", "2.9", , , , , 
"CA-TP1", "27561", "GRP_SOIL_TEX", "0", , , , "sieving method", "98", "2", , , , , 
"CA-TP2", "27006", "GRP_SOIL_TEX", "0", , , , , "98", "2", , , , , 
"CA-TP3", "27921", "GRP_SOIL_TEX", "0", , , , , "98", "2", , , , , 
"CA-TP4", "26636", "GRP_SOIL_TEX", "0", , , , , "98", "2", , , , , 
"US-ARM", "24241", "GRP_SOIL_TEX", , "0", "25", "Total", , , , "114", "2007", , , 
"US-ARM", "24586", "GRP_SOIL_TEX", "43.10", , , "Total", , "27.98", "28.92", , "2007", , , 
"US-Atq", "23691", "GRP_SOIL_TEX", "2", , , "Total", , , , , , , , 
"US-Atq", "23826", "GRP_SOIL_TEX", "2", , , "Total", , , , , , , , 
"US-Atq", "23953", "GRP_SOIL_TEX", , , , "Total", , "90.4", , , , , , 
"US-Atq", "24055", "GRP_SOIL_TEX", "1.2", , , "Total", , , , , , , , 
"US-Atq", "24058", "GRP_SOIL_TEX", , , , "Total", , , "1.2", , , , , 
"US-Atq", "24207", "GRP_SOIL_TEX", , , , "Total", , "94.8", , , , , , 
"US-Atq", "24458", "GRP_SOIL_TEX", "2", , , "Total", , , , , , , , 
"US-Atq", "24460", "GRP_SOIL_TEX", , , , "Total", , , "3.2", , , , , 
"US-Atq", "24588", "GRP_SOIL_TEX", , , , "Total", , "94.8", , , , , , 
"US-Atq", "24590", "GRP_SOIL_TEX", , , , "Total", , , "10.8", , , , , 
"US-Atq", "24710", "GRP_SOIL_TEX", "2", , , "Total", , , , , , , , 
"US-Atq", "24972", "GRP_SOIL_TEX", , , , "Total", , "96.8", , , , , , 
"US-Atq", "24975", "GRP_SOIL_TEX", , , , "Total", , , "8.4", , , , , 
"US-Atq", "25107", "GRP_SOIL_TEX", , , , "Total", , "87.2", , , , , , 
"US-Atq", "25108", "GRP_SOIL_TEX", , , , "Total", , , "3.2", , , , , 
"US-Bar", "23724", "GRP_SOIL_TEX", "4", , , , "data from Bartlett Experimental Forest, but not within tower footprint. Texture is for shallow-C layer material.", "74", "23", , , , , 
"US-Blo", "24188", "GRP_SOIL_TEX", "11", "0", "10", "A", , "60", "29", , , , , 
"US-Brw", "23692", "GRP_SOIL_TEX", "6.9", , , "Total", , , , , , , , 
"US-Brw", "23693", "GRP_SOIL_TEX", "26.8", , , "Total", , , , , , , , 
"US-Brw", "23827", "GRP_SOIL_TEX", "25", , , "Total", , , , , , , , 
"US-Brw", "23954", "GRP_SOIL_TEX", , , , "Total", , , "49.7", , , , , 
"US-Brw", "24056", "GRP_SOIL_TEX", "19", , , "Total", , , , , , , , 
"US-Brw", "24057", "GRP_SOIL_TEX", , , , "Total", , "54.1", , , , , , 
"US-Brw", "24208", "GRP_SOIL_TEX", , , , "Total", , "42.8", , , , , , 
"US-Brw", "24328", "GRP_SOIL_TEX", , , , "Total", , "48.8", , , , , , 
"US-Brw", "24461", "GRP_SOIL_TEX", , , , "Total", , , "41.2", , , , , 
"US-Brw", "24462", "GRP_SOIL_TEX", , , , "Total", , , "20.4", , , , , 
"US-Brw", "24589", "GRP_SOIL_TEX", , , , "Total", , "52.8", , , , , , 
"US-Brw", "24711", "GRP_SOIL_TEX", "42.8", , , "Total", , , , , , , , 
"US-Brw", "24713", "GRP_SOIL_TEX", , , , "Total", , , "31.2", , , , , 
"US-Brw", "24714", "GRP_SOIL_TEX", , , , "Total", , , "26.8", , , , , 
"US-Brw", "24849", "GRP_SOIL_TEX", , , , "Total", , , "22.5", , , , , 
"US-Brw", "24973", "GRP_SOIL_TEX", , , , "Total", , "52.5", , , , , , 
"US-Brw", "24974", "GRP_SOIL_TEX", , , , "Total", , "43.7", , , , , , 
"US-Brw", "25104", "GRP_SOIL_TEX", "20", , , "Total", , , , , , , , 
"US-Dk1", "26756", "GRP_SOIL_TEX", "24.4", , , "B", "Oh, N.H. and D.D. Richter. Elemental translocation and loss from three highly weathered soil-bedrock profiles in the southeastern United States.  Geoderma 126 (5-25)", "35.5", "40.1", , , , , 
"US-Dk1", "26757", "GRP_SOIL_TEX", "18.4", , , "BC", "Oh, N.H. and D.D. Richter. Elemental translocation and loss from three highly weathered soil-bedrock profiles in the southeastern United States.  Geoderma 126 (5-25)", "44", "37.6", , , , , 
"US-Dk1", "26758", "GRP_SOIL_TEX", , , , "C", "Oh, N.H. and D.D. Richter. Elemental translocation and loss from three highly weathered soil-bedrock profiles in the southeastern United States.  Geoderma 126 (5-25)", , "26.6", , , , , 
"US-Dk1", "26759", "GRP_SOIL_TEX", , , , "C", "Oh, N.H. and D.D. Richter. Elemental translocation and loss from three highly weathered soil-bedrock profiles in the southeastern United States.  Geoderma 126 (5-25)", , "27.2", , , , , 
"US-Dk1", "26760", "GRP_SOIL_TEX", "9.6", , , "C", "Oh, N.H. and D.D. Richter. Elemental translocation and loss from three highly weathered soil-bedrock profiles in the southeastern United States.  Geoderma 126 (5-25)", , , , , , , 
"US-Dk1", "26906", "GRP_SOIL_TEX", "12.6", , , "CB", "Oh, N.H. and D.D. Richter. Elemental translocation and loss from three highly weathered soil-bedrock profiles in the southeastern United States.  Geoderma 126 (5-25)", "55.1", "32.3", , , , , 
"US-Dk1", "26907", "GRP_SOIL_TEX", , , , "C", "Oh, N.H. and D.D. Richter. Elemental translocation and loss from three highly weathered soil-bedrock profiles in the southeastern United States.  Geoderma 126 (5-25)", , "29.4", , , , , 
"US-Dk1", "26908", "GRP_SOIL_TEX", , , , "C", "Oh, N.H. and D.D. Richter. Elemental translocation and loss from three highly weathered soil-bedrock profiles in the southeastern United States.  Geoderma 126 (5-25)", , "27.5", , , , , 
"US-Dk1", "26909", "GRP_SOIL_TEX", "6", , , "C", "Oh, N.H. and D.D. Richter. Elemental translocation and loss from three highly weathered soil-bedrock profiles in the southeastern United States.  Geoderma 126 (5-25)", , , , , , , 
"US-Dk1", "27058", "GRP_SOIL_TEX", "34.2", , , "Bt", "Oh, N.H. and D.D. Richter. Elemental translocation and loss from three highly weathered soil-bedrock profiles in the southeastern United States.  Geoderma 126 (5-25)", "25.5", "40.3", , , , , 
"US-Dk1", "27060", "GRP_SOIL_TEX", , , , "C", "Oh, N.H. and D.D. Richter. Elemental translocation and loss from three highly weathered soil-bedrock profiles in the southeastern United States.  Geoderma 126 (5-25)", "63.8", , , , , , 
"US-Dk1", "27352", "GRP_SOIL_TEX", "9.6", , , "AE", "Oh, N.H. and D.D. Richter. Elemental translocation and loss from three highly weathered soil-bedrock profiles in the southeastern United States.  Geoderma 126 (5-25)", "50.3", "40.1", , , , , 
"US-Dk1", "27599", "GRP_SOIL_TEX", , , , "C", "Oh, N.H. and D.D. Richter. Elemental translocation and loss from three highly weathered soil-bedrock profiles in the southeastern United States.  Geoderma 126 (5-25)", "67.4", , , , , , 
"US-Dk1", "28321", "GRP_SOIL_TEX", , "0", "30", , , , , "0.52", , , , 
"US-Dk1", "28583", "GRP_SOIL_TEX", "8.6", , , "A", "Oh, N.H. and D.D. Richter. Elemental translocation and loss from three highly weathered soil-bedrock profiles in the southeastern United States.  Geoderma 126 (5-25)", "48.4", "43.3", , , , , 
"US-Dk1", "28584", "GRP_SOIL_TEX", "14.2", , , "BE", "Oh, N.H. and D.D. Richter. Elemental translocation and loss from three highly weathered soil-bedrock profiles in the southeastern United States.  Geoderma 126 (5-25)", "47.6", "38.5", , , , , 
"US-Dk1", "28819", "GRP_SOIL_TEX", , , , "C", "Oh, N.H. and D.D. Richter. Elemental translocation and loss from three highly weathered soil-bedrock profiles in the southeastern United States.  Geoderma 126 (5-25)", "61", , , , , , 
"US-Dk1", "28820", "GRP_SOIL_TEX", "8.7", , , "C", "Oh, N.H. and D.D. Richter. Elemental translocation and loss from three highly weathered soil-bedrock profiles in the southeastern United States.  Geoderma 126 (5-25)", , , , , , , 
"US-Dk1", "29168", "GRP_SOIL_TEX", , , , "C", "Oh, N.H. and D.D. Richter. Elemental translocation and loss from three highly weathered soil-bedrock profiles in the southeastern United States.  Geoderma 126 (5-25)", "68.9", , , , , , 
"US-Dk1", "29522", "GRP_SOIL_TEX", "4", , , "C", "Oh, N.H. and D.D. Richter. Elemental translocation and loss from three highly weathered soil-bedrock profiles in the southeastern United States.  Geoderma 126 (5-25)", , , , , , , 
"US-Dk2", "24376", "GRP_SOIL_TEX", , "0", "30", , , , , "0.52", , , , 
"US-Dk3", "23736", "GRP_SOIL_TEX", "12.6", , , "BC", "Oh, N.H. and D.D. Richter. Elemental translocation and loss from three highly weathered soil-bedrock profiles in the southeastern United States.  Geoderma 126 (5-25)", "55.1", "32.3", , , , , 
"US-Dk3", "23738", "GRP_SOIL_TEX", , , , "C", "Oh, N.H. and D.D. Richter. Elemental translocation and loss from three highly weathered soil-bedrock profiles in the southeastern United States.  Geoderma 126 (5-25)", , "27.5", , , , , 
"US-Dk3", "23878", "GRP_SOIL_TEX", , , , "C", "Oh, N.H. and D.D. Richter. Elemental translocation and loss from three highly weathered soil-bedrock profiles in the southeastern United States.  Geoderma 126 (5-25)", , "27.2", , , , , 
"US-Dk3", "23879", "GRP_SOIL_TEX", , , , "C", "Oh, N.H. and D.D. Richter. Elemental translocation and loss from three highly weathered soil-bedrock profiles in the southeastern United States.  Geoderma 126 (5-25)", "63.8", , , , , , 
"US-Dk3", "23880", "GRP_SOIL_TEX", , , , "C", "Oh, N.H. and D.D. Richter. Elemental translocation and loss from three highly weathered soil-bedrock profiles in the southeastern United States.  Geoderma 126 (5-25)", "68.9", , , , , , 
"US-Dk3", "24005", "GRP_SOIL_TEX", "9.6", , , "AE", "Oh, N.H. and D.D. Richter. Elemental translocation and loss from three highly weathered soil-bedrock profiles in the southeastern United States.  Geoderma 126 (5-25)", "50.3", "40.1", , , , , 
"US-Dk3", "24006", "GRP_SOIL_TEX", , , , "Bt", "Oh, N.H. and D.D. Richter. Elemental translocation and loss from three highly weathered soil-bedrock profiles in the southeastern United States.  Geoderma 126 (5-25)", "35.5", , , , , , 
"US-Dk3", "24102", "GRP_SOIL_TEX", "24.4", , , "Bt", "Oh, N.H. and D.D. Richter. Elemental translocation and loss from three highly weathered soil-bedrock profiles in the southeastern United States.  Geoderma 126 (5-25)", , , , , , , 
"US-Dk3", "24120", "GRP_SOIL_TEX", , "0", "30", , , , , "0.52", , , , 
"US-Dk3", "24268", "GRP_SOIL_TEX", , , , "Bt", "Oh, N.H. and D.D. Richter. Elemental translocation and loss from three highly weathered soil-bedrock profiles in the southeastern United States.  Geoderma 126 (5-25)", , "40.1", , , , , 
"US-Dk3", "24362", "GRP_SOIL_TEX", "18.4", , , "B", "Oh, N.H. and D.D. Richter. Elemental translocation and loss from three highly weathered soil-bedrock profiles in the southeastern United States.  Geoderma 126 (5-25)", "44", "37.6", , , , , 
"US-Dk3", "24522", "GRP_SOIL_TEX", , , , "Bt", "Oh, N.H. and D.D. Richter. Elemental translocation and loss from three highly weathered soil-bedrock profiles in the southeastern United States.  Geoderma 126 (5-25)", "25.5", , , , , , 
"US-Dk3", "24523", "GRP_SOIL_TEX", , , , "Bt", "Oh, N.H. and D.D. Richter. Elemental translocation and loss from three highly weathered soil-bedrock profiles in the southeastern United States.  Geoderma 126 (5-25)", , "40.3", , , , , 
"US-Dk3", "24776", "GRP_SOIL_TEX", "9.6", , , "CB", "Oh, N.H. and D.D. Richter. Elemental translocation and loss from three highly weathered soil-bedrock profiles in the southeastern United States.  Geoderma 126 (5-25)", "61", "29.4", , , , , 
"US-Dk3", "24777", "GRP_SOIL_TEX", , , , "C", "Oh, N.H. and D.D. Richter. Elemental translocation and loss from three highly weathered soil-bedrock profiles in the southeastern United States.  Geoderma 126 (5-25)", , "26.6", , , , , 
"US-Dk3", "24778", "GRP_SOIL_TEX", , , , "C", "Oh, N.H. and D.D. Richter. Elemental translocation and loss from three highly weathered soil-bedrock profiles in the southeastern United States.  Geoderma 126 (5-25)", "67.4", , , , , , 
"US-Dk3", "25032", "GRP_SOIL_TEX", , , , "A", , "48.4", , , , , , 
"US-Dk3", "25141", "GRP_SOIL_TEX", "34.2", , , "Bt", "Oh, N.H. and D.D. Richter. Elemental translocation and loss from three highly weathered soil-bedrock profiles in the southeastern United States.  Geoderma 126 (5-25)", , , , , , , 
"US-Dk3", "25161", "GRP_SOIL_TEX", "8.6", , , "A", "Oh, N.H. and D.D. Richter. Elemental translocation and loss from three highly weathered soil-bedrock profiles in the southeastern United States.  Geoderma 126 (5-25)", , "43.3", , , , , 
"US-Dk3", "25162", "GRP_SOIL_TEX", "14.2", , , "BE", "Oh, N.H. and D.D. Richter. Elemental translocation and loss from three highly weathered soil-bedrock profiles in the southeastern United States.  Geoderma 126 (5-25)", "47.6", "38.5", , , , , 
"US-Dk3", "25551", "GRP_SOIL_TEX", "6", , , "C", "Oh, N.H. and D.D. Richter. Elemental translocation and loss from three highly weathered soil-bedrock profiles in the southeastern United States.  Geoderma 126 (5-25)", , , , , , , 
"US-Dk3", "25552", "GRP_SOIL_TEX", "8.7", , , "C", "Oh, N.H. and D.D. Richter. Elemental translocation and loss from three highly weathered soil-bedrock profiles in the southeastern United States.  Geoderma 126 (5-25)", , , , , , , 
"US-Dk3", "26054", "GRP_SOIL_TEX", "4", , , "C", "Oh, N.H. and D.D. Richter. Elemental translocation and loss from three highly weathered soil-bedrock profiles in the southeastern United States.  Geoderma 126 (5-25)", , , , , , , 
"US-Fmf", "27374", "GRP_SOIL_TEX", "12", , , "A", , "27", "60", , , , , 
"US-Fmf", "27375", "GRP_SOIL_TEX", "40", , , "B", , "13", "46", , , , , 
"US-Fuf", "27381", "GRP_SOIL_TEX", "24", , , "A", , "37", "39", , , , , 
"US-Fuf", "28604", "GRP_SOIL_TEX", "35", , , "B", , "31", "34", , , , , 
"US-Fwf", "28341", "GRP_SOIL_TEX", "25", , , "B", , "20", "55", , , , , 
"US-Fwf", "28606", "GRP_SOIL_TEX", "13", , , "A", , "30", "57", , , , , 
"US-Ha1", "22050", "GRP_SOIL_TEX", "6", , , "Total", "Source: Kathleen Savage (savage@whrc.org), personal communication", "66", "29", , "2007", , , 
"US-Ho1", "24853", "GRP_SOIL_TEX", , , , "Total", , , , "100", "2008", , , 
"US-Ho2", "24978", "GRP_SOIL_TEX", , , , , , , , "100", , , , 
"US-Ho3", "24066", "GRP_SOIL_TEX", , , , , , , , "100", , , , 
"US-IB1", "24779", "GRP_SOIL_TEX", "35", "0", "15", , , "10", "55", , , , , 
"US-IB1", "25163", "GRP_SOIL_TEX", "37", "15", "25", , , "9", "54", , , , , 
"US-IB1", "25164", "GRP_SOIL_TEX", "36", "75", "100", , , "6", "57", , , , , 
"US-IB1", "25553", "GRP_SOIL_TEX", "39", "25", "50", , , "7", "54", , , , , 
"US-IB1", "26055", "GRP_SOIL_TEX", "39", "50", "75", , , "7", "57", , , , , 
"US-IB2", "24003", "GRP_SOIL_TEX", "38", "50", "75", , "depth (m) 0.5-0.75", "10.6", "51", , , , , 
"US-IB2", "24267", "GRP_SOIL_TEX", "38", "25", "50", , "depth (m) 0.25-0.5", "9.3", "53", , , , , 
"US-IB2", "24518", "GRP_SOIL_TEX", "36", "75", "75", , "depth (m) 0.75-1.0", "13", "51", , , , , 
"US-IB2", "26047", "GRP_SOIL_TEX", "29", "0", "15", , "depth (m) 0-0.15", "14", "57", , , , , 
"US-IB2", "26048", "GRP_SOIL_TEX", "33", "15", "25", , "depth (m) 0.15-0.25", "14", "53", , , , , 
"US-KS2", "23653", "GRP_SOIL_TEX", "5", "0", "100", "A", , "90", "5", , , , , 
"US-KS2", "24170", "GRP_SOIL_TEX", "5", "100", "150", "B", , "90", "5", , , , , 
"US-KS2", "24665", "GRP_SOIL_TEX", , "0", "150", "Total", "(range 0.5-1.3) :
>1,5m", , , "0.9", , , , 
"US-Los", "27933", "GRP_SOIL_TEX", "0", , , , "No mineral soil in top 50 cm. per Bruce Cook", "0", "0", , , , , 
"US-Me1", "24567", "GRP_SOIL_TEX", "10", , , , , "65", "25", , , , , 
"US-Me2", "19730", "GRP_SOIL_TEX", "7", , , , , "67", "26", , "2001", , , 
"US-Me3", "23818", "GRP_SOIL_TEX", "0", , , , , "80", "20", , , , , 
"US-Me4", "23682", "GRP_SOIL_TEX", , , , , , "66", , , , , , 
"US-Me4", "23683", "GRP_SOIL_TEX", , , , , , , "24", , , , , 
"US-Me4", "23810", "GRP_SOIL_TEX", "10", , , , , , , , , , , 
"US-Me4", "24701", "GRP_SOIL_TEX", , , , , , "66", , , , , , 
"US-Me4", "24702", "GRP_SOIL_TEX", , , , , , , "24", , , , , 
"US-Me4", "25095", "GRP_SOIL_TEX", "10", , , , , , , , , , , 
"US-Me5", "24832", "GRP_SOIL_TEX", "6", , , , , "66", "28", , , , , 
"US-Me6", "19725", "GRP_SOIL_TEX", "2.875", , , , , "80.341666667", "16.858333333", , "20100701", , , 
"US-MMS", "22038", "GRP_SOIL_TEX", "63", , , , , "34", "3", , , , , 
"US-MOz", "23655", "GRP_SOIL_TEX", , "0", "38", "A", "(range 60-80) Weller: 0.38  Clinkenbeard:  0.25
Stephen Pallardy: choose Weller as representative for site", , "70", , , , , 
