"SITE_ID", "GROUP_ID", "VARIABLE_GROUP", "SWC", "SWC_UNIT", "SWC_PROFILE_ZERO_REF", "SWC_PROFILE_MIN", "SWC_PROFILE_MAX", "SWC_DATE", "SWC_SPATIAL_VARIABILITY", "SWC_SPATIAL_REP_NUMBER", "SWC_APPROACH", 
"US-Ha1", "22051", "GRP_SWC", "19", "Volumetric", "Top of surface", "0", "30", "20020718", , , , 
"US-Ha1", "22054", "GRP_SWC", "30", "Volumetric", "Top of surface", "0", "30", "20020724", , , , 
"US-Ha1", "22057", "GRP_SWC", "8", "Volumetric", "Top of surface", "0", "30", "20020826", , , , 
"US-Ha1", "22060", "GRP_SWC", "23", "Volumetric", "Top of surface", "0", "30", "20021018", , , , 
"US-Ha1", "22063", "GRP_SWC", "42", "Volumetric", "Top of surface", "0", "30", "20030430", , , , 
"US-Ha1", "22066", "GRP_SWC", "27", "Volumetric", "Top of surface", "0", "30", "20030615", , , , 
"US-Ha1", "22069", "GRP_SWC", "33", "Volumetric", "Top of surface", "0", "30", "20030624", , , , 
"US-Ha1", "22072", "GRP_SWC", "22", "Volumetric", "Top of surface", "0", "30", "20030710", , , , 
"US-Ha1", "22075", "GRP_SWC", "24", "Volumetric", "Top of surface", "0", "30", "20030724", , , , 
"US-Ha1", "22078", "GRP_SWC", "29", "Volumetric", "Top of surface", "0", "30", "20030815", , , , 
"US-Ha1", "22081", "GRP_SWC", "22", "Volumetric", "Top of surface", "0", "30", "20030826", , , , 
"US-Ha1", "22083", "GRP_SWC", "29", "Volumetric", "Top of surface", "0", "30", "20030924", , , , 
"US-Ha1", "22085", "GRP_SWC", "31", "Volumetric", "Top of surface", "0", "30", "20031024", , , , 
"US-Ha1", "22087", "GRP_SWC", "37", "Volumetric", "Top of surface", "0", "30", "20000626", , , , 
"US-Ha1", "22088", "GRP_SWC", "32", "Volumetric", "Top of surface", "0", "30", "20000725", , , , 
"US-Ha1", "22089", "GRP_SWC", "32", "Volumetric", "Top of surface", "0", "30", "20000804", , , , 
"US-Ha1", "22090", "GRP_SWC", "34", "Volumetric", "Top of surface", "0", "30", "20000808", , , , 
"US-Ha1", "22091", "GRP_SWC", "37", "Volumetric", "Top of surface", "0", "30", "20020516", , , , 
"US-Ha1", "22092", "GRP_SWC", "29", "Volumetric", "Top of surface", "0", "30", "20020517", , , , 
"US-Ha1", "22093", "GRP_SWC", "41", "Volumetric", "Top of surface", "0", "30", "20020608", , , , 
"US-Ha1", "22094", "GRP_SWC", "31", "Volumetric", "Top of surface", "0", "30", "20020625", , , , 
"US-Ha1", "22095", "GRP_SWC", "29", "Volumetric", "Top of surface", "0", "30", "20020702", , , , 
"US-Ha1", "22096", "GRP_SWC", "13", "Volumetric", "Top of surface", "0", "30", "20020708", , , , 
"US-Ha1", "22097", "GRP_SWC", "26", "Volumetric", "Top of surface", "0", "30", "20020709", , , , 
"US-Ha1", "22098", "GRP_SWC", "26", "Volumetric", "Top of surface", "0", "30", "20020711", , , , 
"US-Ton", "19733", "GRP_SWC", "7.58", "Volumetric", "Top of mineral soil", "0", "15", "20011110", "4.0776218559", "5", "TDR probes from Environmental Sensors Inc. (ESI), Canada, Moisture Points, 1-800-799-6324", 
"US-Ton", "19734", "GRP_SWC", "6.74", "Volumetric", , "15", "30", "20011110", "1.1282730166", "5", , 
"US-Ton", "19735", "GRP_SWC", "14.62", "Volumetric", , "30", "45", "20011110", "4.0831360497", "5", , 
"US-Ton", "19736", "GRP_SWC", "19.26", "Volumetric", , "45", "60", "20011110", "4.6446743696", "5", , 
"US-Ton", "19737", "GRP_SWC", "30.933333333", "Volumetric", , "0", "15", "20011113", "7.3233265058", "4", , 
"US-Ton", "19738", "GRP_SWC", "34.025", "Volumetric", , "15", "30", "20011113", "0.52519837522", "4", , 
"US-Ton", "19739", "GRP_SWC", "23.75", "Volumetric", , "30", "45", "20011113", "8.7403068003", "4", , 
"US-Ton", "19740", "GRP_SWC", "18.75", "Volumetric", , "45", "60", "20011113", "4.4763162765", "4", , 
"US-Ton", "19741", "GRP_SWC", "31.273333333", "Volumetric", , "0", "15", "20011125", "7.6541709762", "5", , 
"US-Ton", "19742", "GRP_SWC", "31.76", "Volumetric", , "15", "30", "20011125", "3.7825917041", "5", , 
"US-Ton", "19743", "GRP_SWC", "29.24", "Volumetric", , "30", "45", "20011125", "7.9526166204", "5", , 
"US-Ton", "19744", "GRP_SWC", "21.686666667", "Volumetric", , "45", "60", "20011125", "4.1365981729", "5", , 
"US-Ton", "19745", "GRP_SWC", "36", "Volumetric", , "0", "15", "20011219", "9.3776329636", "5", , 
"US-Ton", "19746", "GRP_SWC", "36.36", "Volumetric", , "15", "30", "20011219", "1.6094167335", "5", , 
"US-Ton", "19747", "GRP_SWC", "39.24", "Volumetric", , "30", "45", "20011219", "4.0143769407", "5", , 
"US-Ton", "19748", "GRP_SWC", "39.933333333", "Volumetric", , "45", "60", "20011219", "10.398744582", "5", , 
"US-Ton", "19749", "GRP_SWC", "39.22", "Volumetric", , "0", "15", "20020115", "8.6327412924", "5", , 
"US-Ton", "19750", "GRP_SWC", "38.173333333", "Volumetric", , "15", "30", "20020115", "1.1528708128", "5", , 
"US-Ton", "19751", "GRP_SWC", "41.32", "Volumetric", , "30", "45", "20020115", "2.327444951", "5", , 
"US-Ton", "19752", "GRP_SWC", "46.193333333", "Volumetric", , "45", "60", "20020115", "5.1880418057", "5", , 
"US-Ton", "19753", "GRP_SWC", "38.406666667", "Volumetric", , "0", "15", "20020123", "8.5627552679", "5", , 
"US-Ton", "19754", "GRP_SWC", "38.113333333", "Volumetric", , "15", "30", "20020123", "0.92183392093", "5", , 
"US-Ton", "19755", "GRP_SWC", "41.433333333", "Volumetric", , "30", "45", "20020123", "2.7689749407", "5", , 
"US-Ton", "19756", "GRP_SWC", "47.66", "Volumetric", , "45", "60", "20020123", "6.9655262224", "5", , 
"US-Ton", "19757", "GRP_SWC", "39.175", "Volumetric", , "0", "15", "20020208", "9.8723097601", "4", , 
"US-Ton", "19758", "GRP_SWC", "37.6875", "Volumetric", , "15", "30", "20020208", "0.97328909717", "4", , 
"US-Ton", "19759", "GRP_SWC", "41.7875", "Volumetric", , "30", "45", "20020208", "2.6920794317", "4", , 
"US-Ton", "19760", "GRP_SWC", "44.45", "Volumetric", , "45", "60", "20020208", "3.950949253", "4", , 
"US-Ton", "19761", "GRP_SWC", "39.246666667", "Volumetric", , "0", "15", "20020228", "8.1081097948", "5", , 
"US-Ton", "19762", "GRP_SWC", "37.92", "Volumetric", , "15", "30", "20020228", "0.54599552298", "5", , 
"US-Ton", "19763", "GRP_SWC", "42.3", "Volumetric", , "30", "45", "20020228", "2.6894857005", "5", , 
"US-Ton", "19764", "GRP_SWC", "47.806666667", "Volumetric", , "45", "60", "20020228", "5.3591769683", "5", , 
"US-Ton", "19765", "GRP_SWC", "42.321666667", "Volumetric", , "0", "15", "20020308", "6.920289212", "5", , 
"US-Ton", "19766", "GRP_SWC", "38.525", "Volumetric", , "15", "30", "20020308", "1.1183755581", "5", , 
"US-Ton", "19767", "GRP_SWC", "42.073333333", "Volumetric", , "30", "45", "20020308", "2.5222785114", "5", , 
"US-Ton", "19768", "GRP_SWC", "48.528333333", "Volumetric", , "45", "60", "20020308", "6.0394409693", "5", , 
"US-Ton", "19769", "GRP_SWC", "39.666666667", "Volumetric", , "0", "15", "20020320", "7.604823031", "5", , 
"US-Ton", "19770", "GRP_SWC", "37.54", "Volumetric", , "15", "30", "20020320", "0.64609940756", "5", , 
"US-Ton", "19771", "GRP_SWC", "42.92", "Volumetric", , "30", "45", "20020320", "2.4417207047", "5", , 
"US-Ton", "19772", "GRP_SWC", "47.973333333", "Volumetric", , "45", "60", "20020320", "5.1154124413", "5", , 
"US-Ton", "19773", "GRP_SWC", "35.73", "Volumetric", , "0", "15", "20020404", "10.033356866", "5", , 
"US-Ton", "19774", "GRP_SWC", "37.44", "Volumetric", , "15", "30", "20020404", "2.4472944245", "5", , 
"US-Ton", "19775", "GRP_SWC", "41.63", "Volumetric", , "30", "45", "20020404", "2.7483176672", "5", , 
"US-Ton", "19776", "GRP_SWC", "50.08", "Volumetric", , "45", "60", "20020404", "8.4881976886", "5", , 
