"SITE_ID", "GROUP_ID", "VARIABLE_GROUP", "DM_AGRICULTURE", "DM_DATE", "DM_COMMENT", "DM_DATE_START", "DM_DATE_END", "DM_SURF", "DM_SURF_MEAS_UNC", "DM_DATE_UNC", 
"US-ARM", "89306", "GRP_DM_AGRICULTURE", "Other", "20170605", "alfalfa layed down and swathed", , , , , , 
"US-ARM", "89308", "GRP_DM_AGRICULTURE", "Harvest", "20061110", "harvest (soybean), yield was 5 bu per acre", , , , , , 
"US-ARM", "89309", "GRP_DM_AGRICULTURE", "Harvest", "200306", "harvest (winter wheat), yield was 42.4 bu per acre", , , , , , 
"US-ARM", "89314", "GRP_DM_AGRICULTURE", "Other", , "Field was divided into three sections and management different, unclear records", "20140621", "20150915", , , , 
"US-ARM", "89319", "GRP_DM_AGRICULTURE", "Harvest", "20060621", "harvest, yield was 25.75 bu per acre", , , , , , 
"US-ARM", "89326", "GRP_DM_AGRICULTURE", "Harvest", "20051001", "harvest (corn), yield was 26.12 bu per acre", , , , , , 
"US-ARM", "89327", "GRP_DM_AGRICULTURE", "Harvest", "200206", "harvest (winter wheat), yield was 34 bu per acre", , , , , , 
"US-ARM", "89339", "GRP_DM_AGRICULTURE", "Harvest", "20130621", "harvest (wheat), yield was 43 bu per acre", , , , , , 
"US-ARM", "89341", "GRP_DM_AGRICULTURE", "Harvest", "200406", "harvest (winter wheat), yield was 34 bu per acre", , , , , , 
"US-ARM", "89342", "GRP_DM_AGRICULTURE", "Harvest", "20110615", "harvest (canola), yield was 300 lbs per acre", , , , , , 
"US-ARM", "89345", "GRP_DM_AGRICULTURE", "Other", "20160709", "alfalfa layed down", , , , , , 
"US-ARM", "89346", "GRP_DM_AGRICULTURE", "Other", "20160920", "alfalfa baled", , , , , , 
"US-ARM", "89347", "GRP_DM_AGRICULTURE", "Other", "20160915", "alfalfa layed down", , , , , , 
"US-ARM", "89348", "GRP_DM_AGRICULTURE", "Other", "20170606", "alfalfa raked", , , , , , 
"US-ARM", "89350", "GRP_DM_AGRICULTURE", "Harvest", "20140607", "harvest (wheat), yield was 7 bu per acre (north half of field)", , , , , , 
"US-ARM", "89352", "GRP_DM_AGRICULTURE", "Harvest", "200707", "Partial harvest (wheat), approx 20 bu per acre", , , , , , 
"US-ARM", "89353", "GRP_DM_AGRICULTURE", "Other", "20170506", "alfalfa layed down", , , , , , 
"US-ARM", "89354", "GRP_DM_AGRICULTURE", "Other", "20070906", "Field round baled (1000 lbs per acre hay yield)", , , , , , 
"US-ARM", "89357", "GRP_DM_AGRICULTURE", "Other", "20130622", "wheat stubble windrowed and baled (unknown no. and weight)", , , , , , 
