"SITE_ID", "GROUP_ID", "VARIABLE_GROUP", "TREES_NUM", "TREES_NUM_DATE", "TREES_NUM_SPATIAL_REP_NUMBER", "TREES_NUM_SPATIAL_VARIABILITY", "TREES_NUM_SPP", "TREES_NUM_APPROACH", "TREES_NUM_DATE_UNC", "TREES_NUM_COMMENT", 
"US-Ha1", "17369", "GRP_TREES_NUM", "28.38", "1993", "34", "105.46", "Fraxinus americana", , , , 
"US-Ha1", "17375", "GRP_TREES_NUM", "16.51", "1993", "34", "41.22", "Betula lenta", , , , 
"US-Ha1", "17381", "GRP_TREES_NUM", "11.84", "1993", "34", "22.88", "Fagus grandifolia", , , , 
"US-Ha1", "17387", "GRP_TREES_NUM", "35.69", "1993", "34", "82.82", "Quercus velutina", , , , 
"US-Ha1", "17393", "GRP_TREES_NUM", "28.93", "1993", "34", "84.42", "Prunus serotina", , , , 
"US-Ha1", "17399", "GRP_TREES_NUM", "4.92", "1993", "34", "24.02", "Betula populifolia", , , , 
"US-Ha1", "17405", "GRP_TREES_NUM", "178.48", "1993", "34", "339.75", "Tsuga canadensis", , , , 
"US-Ha1", "17411", "GRP_TREES_NUM", "261.38", "1993", "34", "159.43", "Acer rubrum", , , , 
"US-Ha1", "17417", "GRP_TREES_NUM", "467.82", "1993", "34", "353.57", "Quercus rubra", , , , 
"US-Ha1", "17423", "GRP_TREES_NUM", "89.7", "1993", "34", "305.36", "Pinus resinosa", , , , 
"US-Ha1", "17429", "GRP_TREES_NUM", "0.39", "1993", "34", "2.28", "Acer pennsylvanicum", , , , 
"US-Ha1", "17435", "GRP_TREES_NUM", "5.88", "1993", "34", "23.88", "Betula papyrifera", , , , 
"US-Ha1", "17441", "GRP_TREES_NUM", "73.85", "1993", "34", "155.41", "Pinus strobus", , , , 
"US-Ha1", "17447", "GRP_TREES_NUM", "11.37", "1993", "34", "40.04", "Picea glauca", , , , 
"US-Ha1", "17453", "GRP_TREES_NUM", "35.06", "1993", "34", "55.81", "Betula alleghaniensis", , , , 
"US-Ha1", "17458", "GRP_TREES_NUM", "28.38", "19981030", "34", "105.46", "Fraxinus americana", , , , 
"US-Ha1", "17463", "GRP_TREES_NUM", "16.51", "19981030", "34", "41.22", "Betula lenta", , , , 
"US-Ha1", "17468", "GRP_TREES_NUM", "11.84", "19981030", "34", "22.88", "Fagus grandifolia", , , , 
"US-Ha1", "17473", "GRP_TREES_NUM", "35.69", "19981030", "34", "82.82", "Quercus velutina", , , , 
"US-Ha1", "17477", "GRP_TREES_NUM", "28.93", "19981030", "34", "84.42", "Prunus serotina", , , , 
"US-Ha1", "17481", "GRP_TREES_NUM", "4.92", "19981030", "34", "24.02", "Betula populifolia", , , , 
"US-Ha1", "17485", "GRP_TREES_NUM", "178.48", "19981030", "34", "339.75", "Tsuga canadensis", , , , 
"US-Ha1", "17489", "GRP_TREES_NUM", "261.38", "19981030", "34", "159.43", "Acer rubrum", , , , 
"US-Ha1", "17493", "GRP_TREES_NUM", "467.82", "19981030", "34", "353.57", "Quercus rubra", , , , 
"US-Ha1", "17497", "GRP_TREES_NUM", "89.7", "19981030", "34", "305.36", "Pinus resinosa", , , , 
"US-Ha1", "17501", "GRP_TREES_NUM", "0.39", "19981030", "34", "2.28", "Acer pennsylvanicum", , , , 
"US-Ha1", "17505", "GRP_TREES_NUM", "5.88", "19981030", "34", "23.88", "Betula papyrifera", , , , 
"US-Ha1", "17509", "GRP_TREES_NUM", "73.85", "19981030", "34", "155.41", "Pinus strobus", , , , 
"US-Ha1", "17513", "GRP_TREES_NUM", "11.37", "19981030", "34", "40.04", "Picea glauca", , , , 
"US-Ha1", "17517", "GRP_TREES_NUM", "35.06", "19981030", "34", "55.81", "Betula alleghaniensis", , , , 
"US-Ha1", "17521", "GRP_TREES_NUM", "5.88", "20061114", "34", "23.88", "Betula papyrifera", , , , 
